# Monster spawns by Nadilas.
# Still Some Mobs Missing 
# When I Have More Info I Will Add Them,
# Remember The Spawns Need A Little Rework Later.
# Updated Missing Spawns By DPGuide & Corrected By Darkwolf999.
# mapid npcid x z y heading

#Poeta

#Captain Paruru 
210010000 210673 647.9125 891.6571 103.625 83

#Ancient Cube 
210010000 700001 231.6 2006.1 150.65 66

# Farm worker
210010000 203052 952.61835 1101.5485 108.316864 48
210010000 203051 977.0185 1130.8038 107.95207 12

# digging kerub
210010000 210664 950.57294 1105.2104 107.4832 102
210010000 210664 952.5805 1113.1849 105.20526 26
210010000 210664 1000.1199 1136.5917 110.53698 56
210010000 210664 973.2012 1131.079 107.30029 1

# Porgus
210010000 203192 1043.9404 1140.8762 119.220215 86

# Mailbox
# 210010000 700000 827.3954 1243.8916 118.875 93

# Obelisk
# 210010000 250092 853.1134 1206.8662 118.432625 22

# Training Dummy
# 210010000 700100 844.0354 1213.5359 118.96657 26
# 210010000 700101 847.57697 1212.9049 118.484436 25

# Dummy Mercenary
# 210010000 203197 849.18634 1215.4442 118.51611 84
# 210010000 203198 843.00793 1216.0167 118.93805 95

# Akaros Village
# Also there will be a wrong spawn, or the NPC name is wrong
# NPCID"203088" - NPCname "gilden" on his Position for me on ch beta server,
# there will Spawn "Auron - (Scout Trainer)"

# Chicken (Qooqoo)
210010000 210340 828.21094 1220.3718 118.38818 7
210010000 210340 850.3926 1234.2955 119.100464 51
210010000 210340 862.36426 1224.3661 118.875 25
210010000 210340 833.51263 1244.5859 118.875 81
210010000 210340 858.77325 1224.4141 118.75 43
210010000 210340 847.8922 1239.8088 119.36979 74
210010000 210340 842.67737 1249.8641 119.09965 67
210010000 210340 816.17896 1230.9375 118.75 83

# lile drake (Temed Griffon
210010000 203351 819.722 1240.3114 118.625 104

# Rake Claw Slink
210010000 210065 1002.09564 1242.7563 99.125 27
210010000 210065 962.7631 1231.209 101.321014 46
210010000 210065 1011.21954 1233.393 99.92921 3
210010000 210065 977.7087 1240.3811 99.35118 23
210010000 210065 986.69904 1230.0303 100.61932 79

# Grain snuffler
210010000 210079 922.1649 1106.5094 103.042145 71
210010000 210079 936.5334 1067.4482 107.46666 108
210010000 210079 1014.2495 1171.2782 113.84907 25
210010000 210079 1004.03546 1125.5017 110.37721 73
210010000 210079 939.2705 1114.81 105.17563 73
210010000 210079 912.03906 1080.5641 107.7123 47
210010000 210079 957.9165 1128.6808 105.058205 71
210010000 210079 947.6434 1086.4227 107.629135 118
210010000 210079 1020.4008 1137.1322 110.72081 62

# Spore forest Sylphen
210010000 210084 291.4958 1708.3177 114.11095 18
210010000 210084 302.03152 1673.945 110.122055 66
210010000 210084 272.25098 1661.3147 104.61005 8
