# Monster spawns by Darkwolf999.
# Still Some Mobs Missing 
# When I Have More Info I Will Add Them,
# Remember The Spawns Need A Little Rework Later.
# Updated Missing Spawns By DPGuide.
# mapid npcid x z y heading

# Aldelle Basin Sprigg Workers
220010000 210364 631.9706 2776.6418 294.9599 64
220010000 210363 620.1947 2805.0093 294.31192 79
220010000 210363 636.44727 2790.8142 294.755 24
220010000 210363 600.904 2841.1316 299.15344 74
220010000 210364 615.4837 2824.768 297.15726 19
220010000 210364 636.8318 2807.431 295.65784 74
220010000 210363 630.71375 2819.3892 296.50403 89
220010000 210363 622.83673 2803.3257 294.33286 109
220010000 210364 637.889 2816.4387 296.0 10
220010000 210363 639.08856 2777.6675 295.02078 85

# Aldelle Basin Highland Sparkle
220010000 210645 585.02783 2794.1394 299.13025 91
220010000 210645 581.2985 2797.3193 299.79514 117
220010000 210645 619.06287 2868.6797 310.4306 63
220010000 210645 632.8363 2850.7568 305.5473 46
220010000 210645 664.87787 2809.0557 298.47226 14
220010000 210645 653.05743 2801.8264 296.76086 59
220010000 210645 660.68555 2791.8123 297.92957 79

# Aldelle Basin Hill Sparky
220010000 210649 648.1278 2790.1567 296.39896 1

# Aldelle Hill Sprigg Workers
220010000 210364 486.09204 2845.8042 304.232 38
220010000 210364 485.95798 2752.1477 289.89084 5
220010000 210364 546.3785 2739.9246 298.14865 11
220010000 210364 528.9619 2747.8694 294.61206 14
220010000 210363 472.29102 2875.0908 308.69318 116
220010000 210363 455.79062 2774.7488 288.875 84
220010000 210363 427.1857 2839.6328 296.0 31
220010000 210363 453.01004 2865.8293 308.81186 74
220010000 210363 459.5986 2781.4878 288.875 97
220010000 210363 484.64334 2870.956 308.48483 8
220010000 210363 469.9154 2770.8442 288.94724 114
220010000 210363 415.67703 2834.8901 296.02017 51
220010000 210363 424.60867 2828.6836 295.79272 87
220010000 210363 463.4862 2876.2065 308.75 58
220010000 210363 468.67163 2763.1157 289.292 58
220010000 210364 534.1882 2724.2546 296.60007 90
220010000 210364 535.93713 2738.283 294.77753 115
220010000 210364 524.3686 2733.649 294.19412 100
220010000 210364 549.3983 2737.245 298.25696 105
220010000 210364 389.76816 2811.4968 297.79266 55
220010000 210364 435.03375 2761.8892 288.5 81
220010000 210364 433.77756 2808.8337 291.74313 17
220010000 210363 268.7661 2581.615 290.20212 74
220010000 210363 357.23383 2817.5894 303.87155 73
220010000 210363 258.27643 2812.8962 311.98703 104
220010000 210363 368.1563 2837.63 304.11523 112
220010000 210363 178.08995 2573.0303 302.30316 118
220010000 210363 145.85593 2560.2598 307.89124 49
220010000 210363 481.8304 2884.809 308.6756 96
220010000 210363 472.79553 2869.3367 308.4088 23
220010000 210363 280.7029 2555.1567 289.78033 99
220010000 210363 598.62775 2857.0632 301.72656 100
220010000 210363 473.32376 2771.3604 289.20773 97
220010000 210363 279.69534 2530.6526 290.20117 70
220010000 210363 166.54913 2695.6023 303.83685 7
220010000 210363 351.3927 2844.6804 307.28198 112
220010000 210363 466.5675 2867.9343 308.71863 56
220010000 210363 153.23958 2630.281 306.63223 92
220010000 210363 192.22873 2542.243 303.09552 105
220010000 210363 374.60898 2826.3274 302.97446 90
220010000 210363 456.95282 2874.8674 308.6359 72
220010000 210363 136.14554 2616.1255 308.11215 65
220010000 210363 607.98706 2821.4492 297.68195 102
220010000 210363 209.64903 2546.8228 301.74246 3
220010000 210363 139.56364 2552.431 309.02762 89
220010000 210363 166.93372 2694.2244 304.45447 7
220010000 210363 292.83545 2562.0671 287.8666 114
220010000 210363 429.42264 2814.6016 293.00864 43
