# Created by xTr
# Data from aiondatabase - 2009-11-11
# fixed/tested z data - Lyahim

#Aria 1p
210010000 400601 1019.199 1104.407 113.7619 
210010000 400601 1040.698 1075.01 115.7956 
210010000 400601 1049.766 1179.573 112.5887 
210010000 400601 1059.582 1113.427 118.1007 
210010000 400601 1061.413 1060.165 123.4214 
210010000 400601 1062.206 991.5444 131.3751 
210010000 400601 1078.685 964.3534 131.5126 
210010000 400601 1093.102 1134.294 123.3367 
210010000 400601 1121.858 1045.442 128.6869 
210010000 400601 1133.999 1079.659 135.0316 
210010000 400601 1138.43 1011.085 131.4038 
210010000 400601 1189.89 1060.15 136.9375 
210010000 400601 1198.3 1066.82 137.3756 
210010000 400601 183.5863 1539.09 103.9895 
210010000 400601 196.9531 1337.345 103.0076 
210010000 400601 216.47 1616.059 102.5137 
210010000 400601 233.7496 1479.001 105.3549 
210010000 400601 252.897 1653.768 100.7720 
210010000 400601 255.4986 1435.219 101.375 
210010000 400601 269.335 1283.017 109.0625 
210010000 400601 292.7015 1459.154 102.1875 
210010000 400601 430.4353 1803.491 125.1875 
210010000 400601 448.0678 1535.039 105.6814 
210010000 400601 464.0675 1736.38 117.0189 
210010000 400601 465.1048 1796.753 125.3073 
210010000 400601 466.9378 1494.255 108.2040 
210010000 400601 477.7368 1631.946 122.5992 
210010000 400601 489.6746 1397.954 109.4294 
210010000 400601 492.4094 1429.936 111.5625 
210010000 400601 497.2411 1593.053 118.1511 
210010000 400601 497.2412 1519.095 104.6190 
210010000 400601 505.8187 1831.461 132.0317 
210010000 400601 516.1458 1697.686 124.8335 
210010000 400601 516.4673 1778.576 126.6130 
210010000 400601 522.741 1344.714 114.0394 
210010000 400601 525.4307 1439.118 106.1276 
210010000 400601 537.9132 1079.423 106.7910 
210010000 400601 545.7466 1136.791 111.3326 
210010000 400601 550.1917 1775.937 128.7771 
210010000 400601 551.1552 1912.308 138.7161 
210010000 400601 554.9943 1796.861 133.8758 
210010000 400601 558.9302 1466.517 106.5903 
210010000 400601 568.9714 1861.483 140.9524 
210010000 400601 578.2956 1403.701 116.9404 
210010000 400601 586.1088 1194.183 108.5401 
210010000 400601 586.7278 1293.119 111.9886 
210010000 400601 601.85 899.72 104.0552 
210010000 400601 601.9378 1875.695 141.5000 
210010000 400601 604.4316 1584.097 128.5612 
210010000 400601 612.92 1146.01 108.4088 
210010000 400601 621.4133 1185.734 109.8750 
210010000 400601 631.8597 1444.535 120.625 
210010000 400601 632.7766 1665.612 117.0704 
210010000 400601 637.4903 1829.414 142.6700 
210010000 400601 645.99 929.99 102.3840 
210010000 400601 660.96 1149.63 102.8344 
210010000 400601 663.3136 1213.466 112.1443 
210010000 400601 681.2899 1222.757 110.6954 
210010000 400601 691.01 1129.48 100.9676 
210010000 400601 695.6331 1161.506 107.375 
210010000 400601 708.6 1013 102.8699 
210010000 400601 720.24 1131.78 101.9166 
210010000 400601 731.3945 1186.363 106.6401 
210010000 400601 751.71 1040.17 106.1438 
210010000 400601 917.4413 1124.257 102.9995 
210010000 400601 924.9716 1175.871 104.9741 
210010000 400601 932.1149 1091.868 106.9397 
210010000 400601 974.4039 1185.222 107.3135 
210010000 400601 977.7329 1110.212 109.5197 
210010000 400601 986.4896 1067.301 112.3391 
210010000 400601 998.5556 1147.149 110.5625 

#Mela 10p
210010000 400701 170.7496 1559.862 102.2152 
210010000 400701 187.1168 1359.987 102.0142 
210010000 400701 222.2064 1343.903 105.5075 
210010000 400701 242.4014 1438.738 101.7500 
210010000 400701 258.8256 1464.535 102.5558 
210010000 400701 276.9594 1640.544 102.6250 
210010000 400701 282.0204 1678.277 107.9977 
210010000 400701 446.3625 1555.161 105.4523 
210010000 400701 482.1006 1521.279 105.7601 
210010000 400701 515.8463 1583.65 113.2460 
210010000 400701 522.2556 1540.141 109.7391 
210010000 400701 553.6932 1654.459 117.2500 
210010000 400701 572.8799 1545.246 109.7792 
210010000 400701 595.7526 1668.221 127.0713 
210010000 400701 631.1882 1510.912 117.6306
210010000 400701 641.7805 1613.792 118.9212
210010000 400701 668.3092 1534.42 124.0243
210010000 400701 669.8937 1645.417 124.4477
210010000 400701 670.7877 1568.394 126.1651
210010000 400701 689.5318 1595.25 125.8238

#Ore 15p
210010000 400201 170.1772 1108.792 131.5027
210010000 400201 186.3017 1142.244 120.7280
210010000 400201 206.8922 2007.736 154.8094
210010000 400201 212.5265 1054.583 121.9555
210010000 400201 216.1453 1100.177 126.8448
210010000 400201 222.8234 2060.47 159.1615
210010000 400201 247.1718 2119.919 158.0560
210010000 400201 247.2844 1064.149 120.5764
210010000 400201 255.0203 1980.731 154.2668
210010000 400201 255.0832 1879.347 155.9225
210010000 400201 258.2729 1017.078 120.3310
210010000 400201 261.7899 1835.052 147.8750
210010000 400201 313.693 1837.596 146.7226
210010000 400201 325.551 2083.348 159.7500
210010000 400201 342.1501 1894.662 158.9692
210010000 400201 344.8188 2011.058 155.6976
210010000 400201 379.0905 1895.502 151.9498
210010000 400201 381.5627 2095.451 160.6297
210010000 400201 664.33 1885.64 142.6670
210010000 400201 692.3023 1899.427 143.5624
