# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Eltnen

#Gold
210020000 400102 550.5095 1635.93 250 0
210020000 400102 92.41967 1677.806 274 0
210020000 400102 169.2942 932.7244 320 0
210020000 400102 94.8594 1826.61 266 0
210020000 400102 351.2862 1241.862 285 0
210020000 400102 265.8987 1167.595 286 0
210020000 400102 310.6997 1720.578 241 0
210020000 400102 1169.811 1255.903 295 0
210020000 400102 1105.594 2434.862 264 0
210020000 400102 974.8561 2220.315 252 0
210020000 400102 1013.207 2251.703 251 0
210020000 400102 1047.771 2423.358 256 0
210020000 400102 1083.253 1354.049 305 0
210020000 400102 223.1453 1480.574 271 0
210020000 400102 981.1791 2346.939 255 0
210020000 400102 439.6463 1209.068 286 0
210020000 400102 387.4049 1648.578 245 0
210020000 400102 762.7078 1533.455 279 0
210020000 400102 259.7927 1602.974 261 0
210020000 400102 929.0288 2146.922 256 0
210020000 400102 1194.567 2442.649 272 0
210020000 400102 433.401 1667.259 240 0
210020000 400102 1232.209 1147.181 291 0
210020000 400102 277.5723 982.0642 305 0
210020000 400102 938.7494 2191.229 256 0
210020000 400102 417.3581 1316.747 290 0
210020000 400102 125.6272 780.1523 293 0
210020000 400102 320.4898 1199.401 285 0
210020000 400102 941.3325 1435.383 293 0
210020000 400102 125.4261 1615.497 277 0
210020000 400102 423.7733 1139.196 292 0
210020000 400102 1023.845 2359.604 246 0
210020000 400102 173.7318 878.2375 299 0
210020000 400102 1088.867 2366.396 249 0
210020000 400102 239.0197 1194.116 285 0
210020000 400102 362.5756 1006.682 307 0
210020000 400102 875.6237 1383.03 284 0
210020000 400102 146.0733 837.5079 295 0
210020000 400102 791.8751 1445.958 281 0
210020000 400102 196.6748 1635.508 260 0
210020000 400102 497.392 1689.745 237 0

#Platinum
210020000 400103 2483.696 1811.014 438 0
210020000 400103 1756.527 2903.125 361 0
210020000 400103 1689.894 738.5689 416 0
210020000 400103 1798.122 618.3168 434 0
210020000 400103 2226.979 1917.184 431 0
210020000 400103 1880.863 782.9758 435 0
210020000 400103 1573.776 2705.923 362 0
210020000 400103 2308.807 1843.17 434 0
210020000 400103 2557.378 2689.72 285 0
210020000 400103 2609.453 2636.648 287 0
210020000 400103 1422.492 1036.816 396 0
210020000 400103 1818.839 1021.442 433 0
210020000 400103 1676.761 1386.882 370 0
210020000 400103 2426.185 2545.629 277 0
210020000 400103 2506.069 1831.418 442 0
210020000 400103 2473.48 2611.648 276 0
210020000 400103 2277.174 1837.527 443 0
210020000 400103 2494.544 1873.478 438 0
210020000 400103 1775.278 2789.104 361 0
210020000 400103 1675.407 1429.706 373 0
210020000 400103 1697.124 1403.56 371 0
210020000 400103 1848.414 2860.094 365 0
210020000 400103 1492.004 1082.457 394 0
210020000 400103 2370.839 1975.01 429 0
210020000 400103 1662.401 1401.614 373 0
210020000 400103 1457.853 962.3191 412 0
210020000 400103 2290.645 2065.381 421 0
210020000 400103 1781.485 2848.793 363 0
210020000 400103 2538.089 1687.617 453 0
210020000 400103 2294.464 2032.212 417 0
210020000 400103 1656.34 2863.52 360 0
210020000 400103 1810.324 1284.463 420 0
210020000 400103 2684.45 2722.563 299 0
210020000 400103 2382.843 1825.417 432 0
210020000 400103 2193.654 1926.588 435 0
210020000 400103 2430.617 1736.217 434 0
210020000 400103 1872.789 2745.977 359 0
210020000 400103 2402.892 1905.055 422 0
210020000 400103 1825.639 871.6639 423 0
210020000 400103 1683.33 1437.22 373 0
210020000 400103 1628.041 863.2645 405 0
210020000 400103 2414.499 1875.434 430 0
210020000 400103 1813.113 2780.592 358 0

#Adamantium
210020000 400206 522.7131 348.167 319 0
210020000 400206 1981.242 1761.541 353 0
210020000 400206 2080.594 1619.633 367 0
210020000 400206 2638.019 2575.581 374 0
210020000 400206 2534.082 1850.527 442 0
210020000 400206 1237.313 1436.586 304 0
210020000 400206 1998.961 2492.998 361 0
210020000 400206 1620.347 778.1164 373 0
210020000 400206 2094.423 1810.342 375 0
210020000 400206 2486.69 1696.304 450 0
210020000 400206 1611.859 2124.618 284 0
210020000 400206 2030.185 1006.975 403 0
210020000 400206 2382.969 2512.456 277 0
210020000 400206 2196.563 2674.787 279 0
210020000 400206 460.6548 456.8679 279 0
210020000 400206 1084.523 49.65852 324 0
210020000 400206 2142.152 1169.917 401 0
210020000 400206 1121.463 67.35474 318 0
210020000 400206 1620.134 1144.354 377 0
210020000 400206 1906.133 1911.284 340 0
210020000 400206 1945.502 2572.616 273 0
210020000 400206 596.1965 103.4739 312 0
210020000 400206 1820.238 1591.964 364 0
210020000 400206 576.327 244.5239 308 0
