# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Verteron

#Silver
210030000 400101 706.1578 2671.417 231 0
210030000 400101 795.598 2599.038 217 0
210030000 400101 855.4564 2567.999 197 0
210030000 400101 970.0156 2116.136 153 0
210030000 400101 937.2814 2224.408 164 0
210030000 400101 708.3362 2430.015 225 0
210030000 400101 791.4601 2459.633 216 0
210030000 400101 910.8696 2023.392 166 0
210030000 400101 622.6968 2623.858 243 0
210030000 400101 925.1493 2057.29 154 0
210030000 400101 834.6324 2203.017 161 0
210030000 400101 832.5137 2630.856 215 0
210030000 400101 1052.703 2418.018 182 0
210030000 400101 1015.674 2165.758 153 0
210030000 400101 864.3801 2050.995 160 0
210030000 400101 866.4824 2667.186 219 0
210030000 400101 849.6775 2143.568 161 0
210030000 400101 802.954 2519.725 221 0
210030000 400101 839.1304 2067.436 164 0
210030000 400101 1044.857 2155.086 170 0
210030000 400101 890.3419 2440.332 186 0
210030000 400101 732.7743 2698.495 224 0
210030000 400101 863.0559 2129.453 158 0
210030000 400101 957.2418 2013.127 178 0
210030000 400101 1014.781 2455.637 187 0
210030000 400101 904.4008 1991.205 168 0
210030000 400101 835.8985 2342.728 202 0
210030000 400101 1006.391 2092.185 177 0
210030000 400101 1021.864 2127.855 168 0
210030000 400101 813.5243 2700.19 228 0
210030000 400101 651.0903 2590.028 235 0
210030000 400101 971.5093 2548.246 188 0
210030000 400101 907.1349 2549.651 187 0

#Aether Extraction

#Small Vortex 1p
210030000 401001 1827.105 1505.446 132 0
210030000 401001 1576.295 1503.389 169 0
210030000 401001 1618.258 1650.434 180 0
210030000 401001 1626.232 1333.446 205 0
210030000 401001 1739.963 1561.08 173 0
210030000 401001 1780.909 1544.588 205 0
210030000 401001 1516.661 1487.271 139 0
210030000 401001 1555.106 1544.063 215 0
210030000 401001 1906.294 1437.828 165 0
210030000 401001 1723.745 1677.896 150 0
210030000 401001 1705.716 1377.761 135 0
210030000 401001 1572.636 1376.149 156 0
210030000 401001 1758.037 1638.313 150 0
210030000 401001 1817.005 1427.041 191 0
210030000 401001 1688.138 1321.097 143 0
210030000 401001 1798.544 1329.204 169 0
210030000 401001 1554.377 1302.018 184 0
210030000 401001 1654.413 1507.75 178 0
210030000 401001 1513.347 1439.427 156 0
210030000 401001 1557.746 1610.672 169 0

#Small Vortex 25p
210030000 401003 2385.023 1729.246 180 0
210030000 401003 1553.84 1443.007 248 0
210030000 401003 1750.389 1442.997 260 0
210030000 401003 2229.132 1869.898 180 0
210030000 401003 2417.982 1863.855 180 0
210030000 401003 1674.292 1268.782 226 0
210030000 401003 1686.139 1437.239 210 0
210030000 401003 2207.452 1791.247 180 0
210030000 401003 2284.214 1716.283 180 0
210030000 401003 2290.06 1940.205 180 0
210030000 401003 1960.673 1565.174 232 0
210030000 401003 1691.177 1569.333 241 0
210030000 401003 1696.51 1639.535 220 0
210030000 401003 2317.061 1757.378 180 0
210030000 401003 2243.511 1806.244 180 0
210030000 401003 1887.036 1704.215 239 0
210030000 401003 1787.302 1469.138 254 0
210030000 401003 2459.949 1777.966 180 0
210030000 401003 2340.848 1883.895 180 0
210030000 401003 1486.895 1383.96 254 0

#Small Vortex 50p
210030000 401004 2370.426 1779.311 180 0
210030000 401004 2303.27 1849.942 183 0
210030000 401004 2504.511 1861.995 176 0
210030000 401004 1631.875 1472.427 273 0
210030000 401004 1773.613 1381.381 256 0
210030000 401004 1658.066 1594.903 289 0
210030000 401004 1823.077 1627.913 256 0
210030000 401004 1761.211 1343.351 273 0
210030000 401004 2259.176 1723.253 183 0
210030000 401004 2483.632 1743.96 183 0
210030000 401004 2381.5 1682.497 148 0
210030000 401004 2258.082 1914.803 153 0
210030000 401004 1633.628 1396.403 265 0
210030000 401004 1528.765 1528.481 265 0
210030000 401004 1684.034 1712.746 289 0
210030000 401004 2196.042 1828.014 180 0
210030000 401004 2303.795 1910.554 180 0
210030000 401004 1651.319 1540.661 289 0
210030000 401004 1956.236 1498.438 265 0
210030000 401004 2230.985 1688.259 164 0

#Small Vortex 75p
210030000 401005 2215.011 2008.904 196 0
210030000 401005 2528.503 1698.173 213 0
210030000 401005 2348.629 1754.258 193 0
210030000 401005 2551.573 1812.506 211 0
210030000 401005 2258.39 1829.625 217 0
210030000 401005 2474.846 1617.804 203 0
210030000 401005 2465.316 1683.772 220 0
210030000 401005 2255.477 1646.27 199 0
210030000 401005 2348.763 1896.272 207 0
210030000 401005 2583.982 1843.469 222 0

#Big Vortex 100p
210030000 401007 2579.913 1671.437 252 0
210030000 401007 2279.17 1754.08 226 0
210030000 401007 2232.81 1613.45 191 0
210030000 401007 2334.502 1619.675 238 0
210030000 401007 2333.99 1695.477 219 0
210030000 401007 2562.481 1738.36 245 0
210030000 401007 2194.235 1968.577 234 0
210030000 401007 2184.31 1723.5 189 0
210030000 401007 2391.65 1613.21 212 0
210030000 401007 2518.34 1761.569 259 0
210030000 401007 2397.3 1895.15 215 0
210030000 401007 2145.344 1921.068 255 0
210030000 401007 2397.858 1825.738 230 0
210030000 401007 2415.69 1744.445 240 0
210030000 401007 2458.54 1813.84 186 0
210030000 401007 2274.63 1995.56 205 0
