# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Heiron

#Platinum
210040000 400103 2196.97 645.2017 283 0
210040000 400103 2364.816 516.8848 313 0
210040000 400103 2372.75 697.5787 350 0
210040000 400103 2233.087 723.4927 274 0
210040000 400103 2071.092 922.2911 241 0
210040000 400103 2426.058 558.3476 322 0
210040000 400103 2267.127 663.2651 296 0
210040000 400103 2155.546 555.2597 252 0
210040000 400103 2348.281 758.3303 355 0
210040000 400103 2579.119 632.5864 342 0
210040000 400103 2468.154 716.7813 354 0
210040000 400103 2181.786 813.3842 258 0

#Mithril
210040000 400104 302.567 2524.426 118 0
210040000 400104 474.4943 2594.176 151 0
210040000 400104 2668.147 2294.928 137 0
210040000 400104 221.1798 2384.005 147 0
210040000 400104 936.4507 2483.138 144 0
210040000 400104 644.4599 2758.458 126 0
210040000 400104 1254.863 2561.358 140 0
210040000 400104 828.046 2457.451 142 0
210040000 400104 712.778 2613.226 128 0
210040000 400104 1002.769 2479.297 146 0
210040000 400104 669.3708 2766.497 125 0
210040000 400104 677.0937 2725.326 128 0
210040000 400104 2846.621 1773.911 177 0
210040000 400104 224.7916 2661.027 120 0
210040000 400104 526.9545 2655.639 126 0
210040000 400104 1221.317 2400.329 149 0
210040000 400104 2655.921 2006.966 152 0
210040000 400104 391.1898 2412.423 130 0
210040000 400104 2838.689 1989.994 145 0
210040000 400104 222.7666 2749.445 118 0
210040000 400104 143.5893 2533.643 129 0
210040000 400104 2814.169 2384.469 153 0
210040000 400104 2680.122 2115.413 150 0
210040000 400104 181.8203 2528.5 125 0
210040000 400104 3007.981 2133.231 166 0
210040000 400104 420.7327 2606.334 150 0
210040000 400104 2231.95 2316.497 132 0
210040000 400104 676.7146 2628.667 130 0
210040000 400104 1055.917 2348.924 143 0
210040000 400104 787.9859 2546.938 137 0
210040000 400104 247.3481 2775.311 110 0
210040000 400104 157.5949 2396.725 132 0
210040000 400104 2343.72 2232.646 145 0
210040000 400104 592.4858 2690.987 138 0
210040000 400104 216.409 2494.988 121 0
210040000 400104 1129.009 2449.737 141 0
210040000 400104 572.488 2731.749 130 0
210040000 400104 277.4796 2539.851 122 0
210040000 400104 2472.918 2386.975 155 0
210040000 400104 655.8818 2580.15 139 0
210040000 400104 220.9291 2584.832 130 0
210040000 400104 242.6818 2369.577 135 0
210040000 400104 513.6027 2552.313 144 0
210040000 400104 2660.406 2524.677 153 0
210040000 400104 843.0732 2360.704 171 0
210040000 400104 918.0341 2357.574 149 0
210040000 400104 870.9256 2281.635 168 0
210040000 400104 194.314 2535.728 120 0
210040000 400104 345.1066 2372.92 131 0
210040000 400104 1147.09 2396.72 150 0
210040000 400104 555.8029 2641.579 132 0
210040000 400104 250.5618 2692.289 117 0
210040000 400104 699.3542 2499.06 131 0
210040000 400104 171.2517 2471.265 129 0
210040000 400104 235.5258 2579.545 125 0
210040000 400104 229.8518 2481.759 122 0
210040000 400104 779.8938 2408.31 168 0
210040000 400104 486.3575 2438.391 125 0
210040000 400104 2312.587 1808.118 155 0
210040000 400104 254.8879 2587.255 130 0
210040000 400104 2500.209 2072.238 153 0
210040000 400104 2682.737 1845.677 145 0
210040000 400104 474.6949 2492.416 136 0
210040000 400104 415.1044 2465.16 127 0
210040000 400104 190.996 2500.448 121 0
210040000 400104 376.7892 2405.55 132 0
210040000 400104 515.6069 2599.999 144 0
210040000 400104 268.6605 2531.222 112 0
210040000 400104 2365.608 2012.214 128 0
210040000 400104 109.1027 2502.879 132 0
210040000 400104 339.9619 2467.219 123 0
210040000 400104 230.1558 2490.545 116 0
210040000 400104 1032.78 2315.037 153 0
210040000 400104 608.2925 2577.309 133 0

#Adamantium
210040000 400206 1181.401 268.4094 115 0
210040000 400206 2553.13 435.1826 408 0
210040000 400206 2571.205 276.023 403 0
210040000 400206 268.9326 1132.577 114 0
210040000 400206 1642.388 312.1462 118 0
210040000 400206 2616.911 632.9548 345 0
210040000 400206 2241.688 782.7772 286 0
210040000 400206 341.9766 893.2292 139 0
210040000 400206 2646.487 337.9243 433 0
210040000 400206 435.0143 294.448 118 0
210040000 400206 1353.256 1090.508 132 0
210040000 400206 1166.729 157.4621 120 0
210040000 400206 1235.02 1079.507 136 0
210040000 400206 1135.638 409.8079 123 0
210040000 400206 1560.65 237.8 107 0
210040000 400206 382.1005 588.7087 135 0
210040000 400206 593.2578 733.3159 139 0
210040000 400206 742.7364 1416.782 120 0
210040000 400206 2077.145 850.2874 237 0
210040000 400206 2332.688 661.5995 344 0
210040000 400206 2324.957 556.6981 303 0
210040000 400206 699.0688 782.7661 139 0
210040000 400206 2545.785 270.3828 403 0
210040000 400206 1086.38 373.154 106 0
210040000 400206 2397.204 414.0357 406 0
210040000 400206 389.8266 1319.284 118 0
210040000 400206 1047.758 276.0812 109 0
210040000 400206 357.3027 1130.537 113 0
210040000 400206 451.3723 1508.433 118 0
210040000 400206 2477.115 739.8184 360 0
210040000 400206 2110.96 590.0948 222 0
210040000 400206 2383.719 443.5864 420 0
210040000 400206 2415.365 473.2991 408 0
210040000 400206 1704.176 1105.555 170 0
210040000 400206 2436.744 567.0881 327 0
210040000 400206 994.7889 338.4984 110 0
210040000 400206 1790.971 746.6509 241 0
210040000 400206 629.3538 721.0016 138 0
210040000 400206 1709.894 1022.492 170 0
210040000 400206 2139.816 861.6563 252 0
210040000 400206 542.9555 666.9321 135 0
210040000 400206 519.7319 432.8609 138 0
210040000 400206 340.745 679.1979 143 0
210040000 400206 1252.673 292.0199 107 0
210040000 400206 2257.172 639.527 276 0
210040000 400206 477.1273 1371.683 117 0
210040000 400206 1091.627 436.6821 106 0
210040000 400206 2233.218 515.2746 309 0
210040000 400206 1239.795 243.2623 110 0
210040000 400206 490.6053 1331.85 121 0
210040000 400206 1936.834 830.2792 232 0
210040000 400206 806.9808 1185.72 108 0
210040000 400206 2341.008 608.7357 295 0
210040000 400206 574.5318 1365.872 127 0
210040000 400206 496.2463 286.9775 132 0
210040000 400206 2460.668 549.9845 328 0
210040000 400206 512.8273 1156.968 124 0
210040000 400206 435.2709 1016.644 126 0
210040000 400206 1133.314 172.7192 118 0
210040000 400206 1431.248 389.3018 117 0
210040000 400206 1227.301 253.6186 108 0
210040000 400206 2136.501 670.9558 274 0
210040000 400206 1158.979 230.3105 111 0
210040000 400206 2191.41 699.2504 282 0
210040000 400206 1290.272 943.4199 140 0
210040000 400206 2183.255 526.4387 247 0
210040000 400206 538.7886 586.3495 135 0
210040000 400206 615.0321 1361.447 112 0
210040000 400206 655.7486 1106.678 112 0
210040000 400206 696.3855 1180.514 110 0
210040000 400206 1070.813 273.7536 109 0
210040000 400206 2389.514 562.8439 315 0
210040000 400206 366.7065 284.8478 134 0
210040000 400206 1061.595 254.7262 109 0
210040000 400206 1763.181 919.1387 223 0
210040000 400206 1221.491 208.6211 113 0
210040000 400206 288.5811 1239.589 110 0
210040000 400206 368.4641 397.2469 129 0
210040000 400206 1200.854 592.8557 114 0
210040000 400206 2348.667 547.1541 304 0
210040000 400206 492.913 1132.76 121 0
210040000 400206 2441.957 753.5642 358 0
210040000 400206 2479.981 482.9538 415 0
210040000 400206 2050.734 692.9763 224 0
210040000 400206 1326.43 186.3826 121 0
210040000 400206 1668.526 1154.509 175 0
