# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Theobomos

#Gold
210060000 400102 2085.509 1207.823 31 0
210060000 400102 2055.563 1053.773 23 0
210060000 400102 1863.769 988.4907 37 0
210060000 400102 1895.045 1012.245 34 0
210060000 400102 2130.99 787 43 0
210060000 400102 1914.881 727.0721 53 0
210060000 400102 2056.596 1180.573 26 0
210060000 400102 2166.845 999.8627 29 0
210060000 400102 1906.714 1267.171 23 0
210060000 400102 2093.163 1011.775 28 0
210060000 400102 1990.412 1363.833 22.98586 0
210060000 400102 1897.321 1119.815 26 0
210060000 400102 1950.039 1164.79 21 0
210060000 400102 1841.435 930.2226 55 0
210060000 400102 2079.411 854.8413 29 0
210060000 400102 2022.341 1008.477 21 0
210060000 400102 1905.37 917.8608 43 0
210060000 400102 1775.226 871.1763 55.5356 0
210060000 400102 1790.633 943.0769 60 0
210060000 400102 2053.815 1268.799 24 0

#Mithril
210060000 400104 2837.788 2989.567 57.99998 0
210060000 400104 2309.547 374.8093 199.2902 0
210060000 400104 2610.025 321.0667 180.9441 0
210060000 400104 1919.498 2532.261 97.66299 0
210060000 400104 2420.934 2287.021 60.87455 0
210060000 400104 2597.085 867.3895 158.7622 0
210060000 400104 2650.682 938.0463 110.8221 0
210060000 400104 2467.865 2933.629 73.90616 0
210060000 400104 2778.781 2918.542 30.38938 0
210060000 400104 2534.859 1590.023 62.07711 0
210060000 400104 2738.332 80.01075 229.9116 0
210060000 400104 2281.353 569.9485 170.3583 0
210060000 400104 2458.385 1537.45 83.11388 0
210060000 400104 2447.953 2328.167 43.48134 0
210060000 400104 2465.75 470.9639 167.4285 0
210060000 400104 3007.674 2389.129 61.51908 0
210060000 400104 2596.163 2670.862 57.75041 0
210060000 400104 2828.51 1152.971 90.83051 0
210060000 400104 2109.579 2580.209 76.83965 0
210060000 400104 2632.58 1730.956 81.81607 0
210060000 400104 2993.065 2555.383 59.12363 0
210060000 400104 2481.654 1155.873 138.657 0
210060000 400104 2712.256 2260.948 60.23146 0
210060000 400104 2802.409 2596.678 57.44451 0
210060000 400104 2442.713 235.4666 166.0496 0
210060000 400104 2791.578 951.8184 106.2686 0
210060000 400104 3004.26 859.4747 117.0917 0
210060000 400104 2934.6 2141.118 122.2753 0
210060000 400104 2223.356 143.035 232.0881 0
210060000 400104 2259.792 287.3881 217.7034 0
210060000 400104 2513.373 2173.095 68.56235 0
210060000 400104 2516.118 394.2244 169.5202 0
210060000 400104 2052.83 2808.739 62.58578 0
210060000 400104 2010.222 2990.027 72.8777 0
210060000 400104 2377.656 790.6805 193.934 0
210060000 400104 2769.228 2813.827 40.92384 0
210060000 400104 2843.714 751.059 102.2551 0
210060000 400104 2471.41 2220.025 84.68311 0
210060000 400104 2307.541 135.8219 229.7504 0
210060000 400104 2423.249 410.5403 164.0427 0
210060000 400104 2586.524 406.4832 170.9998 0
210060000 400104 2980.232 1498.267 71.15854 0
210060000 400104 2546.827 2604.64 57.9744 0
210060000 400104 2952.013 1899.149 68.8763 0
210060000 400104 2345.052 2698.561 53.16888 0
210060000 400104 2353.163 1941.079 90.08292 0
210060000 400104 2791.49 892.9579 122.3808 0
210060000 400104 2296.531 236.6234 217.7218 0
210060000 400104 2539.894 345.1929 168.9179 0
210060000 400104 2804.003 291.9586 193.0199 0
210060000 400104 2309.232 2490.601 63.76836 0
210060000 400104 2507.333 1630.68 60.37057 0
210060000 400104 2830.45 2684.343 55.74414 0
210060000 400104 2398.365 1746.522 107.7619 0
210060000 400104 2293.98 74.84875 234.4972 0
210060000 400104 2028.385 2934.076 55.16912 0
210060000 400104 2281.283 616.1322 175.3015 0
210060000 400104 2278.116 2939.978 68.71322 0
210060000 400104 2318.448 533.9954 163.6254 0
210060000 400104 2349.803 2331.443 47.23425 0
210060000 400104 2885.393 1152.166 119.9009 0
210060000 400104 2130.15 2988.069 81.57255 0
210060000 400104 2524.744 264.3404 168.7395 0
210060000 400104 2970.643 2281.743 64.94896 0
210060000 400104 2716.188 906.2279 124.8043 0
210060000 400104 2279.003 2556.709 69.64622 0
210060000 400104 2460.577 1337.813 100.491 0
210060000 400104 2596.772 338.7234 169.1981 0
210060000 400104 2357.129 397.9147 164.6691 0
210060000 400104 2094.311 642.8464 149.7705 0
210060000 400104 3005.566 2004.141 81.46137 0
210060000 400104 2645.277 734.2172 174.1569 0
210060000 400104 1911.928 2605.132 84.1242 0
210060000 400104 2184.065 2566.398 82.84477 0
210060000 400104 1989.422 2594.887 78.83849 0
210060000 400104 2904.426 748.8893 108.3681 0
210060000 400104 2330.282 3000.134 68.30281 0
