# Created by xTr
# Data from aiondatabase - 2009-11-11
# fixed/tested z cordinate data - Lyahim

#Ishalgen

# Azpha 1p     
220010000 400651 1007.989 2209.846 257.9593 0 
220010000 400651 1029.442 2055.854 254.0657 0 
220010000 400651 1052.016 2325.698 256.0672 0 
220010000 400651 1055.073 2145.154 256.1580 0 
220010000 400651 1057.432 2247.141 257.3377 0 
220010000 400651 1058.664 1766.676 260.1178 0 
220010000 400651 1073.311 2057.699 253.1250 0 
220010000 400651 1108.645 2110.884 252.5218 0 
220010000 400651 1129.189 2193.160 255.4326 0 
220010000 400651 1145.55 2251.467 254.8810 0 
220010000 400651 1214.487 2095.308 262.0778 0 
220010000 400651 1221.754 2171.624 259.6170 0 
220010000 400651 411.1134 2663.167 281.4790 0 
220010000 400651 422.6429 2746.666 289.4696 0 
220010000 400651 425.0171 2258.663 252.5073 0 
220010000 400651 442.6335 2322.908 256.2584 0 
220010000 400651 460.1118 2412.771 263.7519 0 
220010000 400651 464.1855 2234.895 249.0056 0 
220010000 400651 470.5884 2185.1201 250.2659 0 
220010000 400651 479.2089 2547.247 273.6943 0 
220010000 400651 480.5367 2787.348 295.0891 0 
220010000 400651 481.5325 2330.62 251.7064 0 
220010000 400651 482.1905 2700.181 294.0924 0 
220010000 400651 489.5987 2842.767 303.9382 0 
220010000 400651 499.2362 2630.992 281.1456 0 
220010000 400651 505.9586 1392.201 315.0255 0 
220010000 400651 521.3321 2714.858 293.3750 0 
220010000 400651 522.5562 1939.886 289.0393 0 
220010000 400651 547.3284 1428.933 310.6887 0 
220010000 400651 548.0366 1500.328 309.5988 0 
220010000 400651 555.1756 2859.501 303.4388 0 
220010000 400651 562.8382 2551.45 270.5305 0 
220010000 400651 566.1457 1755.45 320.9426 0 
220010000 400651 568.0132 1859.475 290.8435 0 
220010000 400651 577.5292 2817.345 303.6017 0 
220010000 400651 614.3488 1899.522 283.9898 0 
220010000 400651 615.6696 1523.567 293.9984 0 
220010000 400651 627.7437 2785.73 294.6011 0 
220010000 400651 638.4858 2099.402 259.1789 0 
220010000 400651 654.7036 1432.757 296.4688 0 
220010000 400651 666.1528 1529.792 292.9400 0 
220010000 400651 675.9329 1849.697 276.3221 0 
220010000 400651 708.1349 1716.62 262.6768 0 
220010000 400651 708.9100 2139.395 250.0504 0 
220010000 400651 740.9285 1533.494 294.2611 0 
220010000 400651 762.9027 2146.129 256.2042 0 
220010000 400651 785.3465 1719.107 257.0657 0 
220010000 400651 805.5962 2221.325 266.0429 0 
220010000 400651 820.4105 1534.86 285.6236 0 
220010000 400651 846.3378 1995.793 256.9667 0 
220010000 400651 858.7120 2245.769 267.2222 0 
220010000 400651 873.5762 1749.545 263.8022 0 
220010000 400651 886.4843 2127.791 262.2758 0 
220010000 400651 907.1522 1640.41 273.3204 0 
220010000 400651 925.2664 2255.219 264.0701 0 
220010000 400651 927.455 2016.797 253.2412 0 
220010000 400651 945.4634 1574.582 285.7030 0 
220010000 400651 959.4779 1808.884 257.9952 0 
220010000 400651 968.5654 2205.628 255.1628 0 
220010000 400651 977.0037 1907.356 257.7083 0 
220010000 400651 987.6136 2153.726 254.2708 0 
220010000 400651 995.4489 1655.202 269.7320 0 
      
# Raydam 10p     
220010000 400751 1023.881 1720.4810 259.0301 0 
220010000 400751 1027.026 1869.753 255.7500 0 
220010000 400751 1044.703 1638.425 269.1081 0 
220010000 400751 1047.437 1684.647 268.3769 0 
220010000 400751 1062.738 1914.591 267.0586 0 
220010000 400751 1067.812 1820.052 260.8724 0 
220010000 400751 1088.286 1753.647 262.3630 0 
220010000 400751 1098.698 1703.639 268.3154 0 
220010000 400751 1106.879 1809.721 269.6685 0 
220010000 400751 764.5411 1782.771 258.6476 0 
220010000 400751 816.1918 1754.243 262.3094 0 
220010000 400751 857.6732 1687.151 258.8118 0 
220010000 400751 858.6158 1557.619 279.2108 0 
220010000 400751 886.9660 1675.624 268.5034 0 
220010000 400751 919.2255 1731.421 260.5819 0 
220010000 400751 922.4136 1784.925 260.9882 0 
220010000 400751 943.8500 1861.9000 254.8808 0 
220010000 400751 978.7104 1779.276 260.6605 0 
220010000 400751 982.2081 1819.196 253.0958 0 
220010000 400751 985.7717 1706.005 261.1952 0 
      
# Ore 15p     
220010000 400201 413.1615 1406.452 343.1875 0 
220010000 400201 509.0416 1568.696 322.6326 0 
220010000 400201 529.6027 1324.349 327.6661 0 
220010000 400201 601.6009 1586.079 304.1250 0 
220010000 400201 666.0236 1357.871 296.8893 0 
220010000 400201 668.8905 1022.353 314.4202 0 
220010000 400201 717.433 1565.8 298.4388 0 
220010000 400201 728.8832 1095.472 315.0247 0 
220010000 400201 743.118 979.8806 322.4628 0 
220010000 400201 748.4908 1021.186 318.6423 0 
220010000 400201 791.7364 1476.066 281.5426 0 
