# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Morheim

#Gold
220020000 400102 1662.06 2854.839 317 0
220020000 400102 1648.565 1575.338 190 0
220020000 400102 1547.284 2253.178 271 0
220020000 400102 1231.023 2903.739 275 0
220020000 400102 1276.316 2823.767 259 0
220020000 400102 1823.584 2740.317 366 0
220020000 400102 2068.898 2004.466 225 0
220020000 400102 161.8835 1610.485 391 0
220020000 400102 260.506 1532.125 375 0
220020000 400102 1688.973 1739.649 208 0
220020000 400102 1321.862 2924.687 261 0
220020000 400102 1323.156 2580.538 273 0
220020000 400102 1298.731 2425.248 256 0
220020000 400102 53.09376 1528.614 377 0
220020000 400102 2128.705 1684.546 190 0
220020000 400102 1742.449 2071.762 251 0
220020000 400102 172.938 1515.813 383 0
220020000 400102 1202.99 2851.643 263 0
220020000 400102 2003.946 1692.588 208 0
220020000 400102 1822.191 2492.253 359 0
220020000 400102 1141.785 2903.353 278 0
220020000 400102 1226.713 2740.819 260 0
220020000 400102 1898.301 1882.944 251 0
220020000 400102 120.1724 1480.323 386 0
220020000 400102 1406.475 2863.571 284 0
220020000 400102 1393.368 2730.806 285 0
220020000 400102 1593.193 2623.555 372 0
220020000 400102 1673.478 2170.945 263 0
220020000 400102 270.09 1514.09 373 0

#Platinum
220020000 400103 1984.635 2729.357 276 0
220020000 400103 2134.381 2641.736 250 0
220020000 400103 2713.758 1165.87 131 0
220020000 400103 2343.542 2775.409 247 0
220020000 400103 2640.253 1224.65 115 0
220020000 400103 2077.053 1890.343 216 0
220020000 400103 2073.988 2706.709 274 0
220020000 400103 2886.374 1261.506 154 0
220020000 400103 2829.085 1396.316 123.99 0
220020000 400103 1873.025 2862.228 298 0
220020000 400103 2906.918 1112.612 161 0
220020000 400103 2287.096 2900.551 229 0
220020000 400103 2247.021 2061.751 214 0
220020000 400103 2051.182 2644.066 262 0
220020000 400103 1957.196 2895.336 281 0
220020000 400103 2487.341 1201.131 116 0
220020000 400103 2141.069 1889.178 191 0
220020000 400103 2193.988 2287.99 231 0
220020000 400103 2795.549 1355.564 116 0
220020000 400103 2061.758 1946.128 227 0
220020000 400103 1901.117 2818.667 287 0
220020000 400103 2858.822 1381.107 121 0
220020000 400103 2199.994 2150.443 225 0
220020000 400103 2684.054 1044.987 159 0
220020000 400103 2012.837 1778.712 203 0
220020000 400103 2570.912 1043.185 140 0
220020000 400103 2562.54 953.6788 194 0
220020000 400103 2810.756 1462.952 130 0
220020000 400103 2884.685 1109.929 137 0
220020000 400103 2729.541 1335.918 111 0
220020000 400103 1933.761 2242.646 254 0
220020000 400103 1907.972 2720.875 298 0
220020000 400103 1992.623 2290.532 254 0
220020000 400103 2529.483 1134.868 131 0
220020000 400103 2187.426 2710.973 228 0
220020000 400103 2834.936 1070.801 136 0
220020000 400103 2128.927 2515.644 239 0
220020000 400103 2198.645 2416.445 246 0
220020000 400103 2683.242 1483.219 119 0
220020000 400103 2836.776 1281.311 118 0
220020000 400103 2322.703 2841.545 232 0
220020000 400103 2069.734 2553.147 261 0
220020000 400103 2289.827 2552.982 215 0
220020000 400103 2540.415 1190.556 114 0
220020000 400103 2728.863 1434.59 119 0
220020000 400103 2316.613 2729.88 242 0
220020000 400103 2114.885 2873.367 237 0
220020000 400103 1884.661 1833.967 238 0
220020000 400103 2110.566 2374.836 236 0
220020000 400103 2188.461 1931.944 194 0

#Adamantium
220020000 400206 2213.427 2026.743 210 0
220020000 400206 2010.943 2649.716 282 0
220020000 400206 2540.507 2875.714 108 0
220020000 400206 1987.113 778.6262 253 0
220020000 400206 2221.366 1171.686 137 0
220020000 400206 520.4399 227.216 489 0
220020000 400206 404.2868 275.1695 469 0
220020000 400206 798.81 245.43 524 0
220020000 400206 2671.417 2171.844 109 0
220020000 400206 2636.362 1240.331 123 0
220020000 400206 596.5765 248.9056 511 0
220020000 400206 2697.724 1625.473 108 0
220020000 400206 2194.428 2519.558 230 0
220020000 400206 2664.731 2944.452 149 0
220020000 400206 243.8917 244.4046 485 0
220020000 400206 2388.914 2635.78 117 0
220020000 400206 2269.186 2793.224 237 0
220020000 400206 421.7382 222.3311 479 0
220020000 400206 1782.392 1291.726 24 0
220020000 400206 2966.053 1811.147 91 0
220020000 400206 2522.391 1154.366 116 0
220020000 400206 258.6359 523.0583 439 0
220020000 400206 2552.884 1355.821 129 0
220020000 400206 2072.966 2470.956 258 0
220020000 400206 2425.614 2770.247 112 0
220020000 400206 2581.247 2039.415 123 0
220020000 400206 505.5627 300.1539 471 0
220020000 400206 2840.566 1234.957 135 0
220020000 400206 2733.904 2266.698 112 0
220020000 400206 2472.416 2372.815 118 0
220020000 400206 2653.09 1493.766 119 0
220020000 400206 2478.866 1907.669 115 0
220020000 400206 2025.111 2238.467 237 0
220020000 400206 2249.723 2304.149 251 0
220020000 400206 422.1888 316.0547 453 0
220020000 400206 2380.749 1291.726 119 0
220020000 400206 2811.789 1975.758 119 0
220020000 400206 1965.544 2763.327 265 0
220020000 400206 2848.453 2282.353 114 0
220020000 400206 2329.31 1412.242 114 0
220020000 400206 2453.696 2994.464 117 0
220020000 400206 1861.203 2009.754 225 0
220020000 400206 2091.036 2601.731 251 0
220020000 400206 2262.767 2503.288 222 0
220020000 400206 2312.939 1994.131 112 0
220020000 400206 2125.766 1981.38 217 0
220020000 400206 476.7607 473.4096 478 0
220020000 400206 2386.438 1297.133 118 0
220020000 400206 652.4777 416.8153 496 0
220020000 400206 1896.45 2132.22 218 0
220020000 400206 2493.393 2320.439 110 0
220020000 400206 538.7316 343.692 476 0
220020000 400206 1957.476 1781.389 203 0
220020000 400206 1690.617 1327.936 27 0
220020000 400206 2646.036 2364.225 124 0
220020000 400206 552.4513 427.6532 490 0
220020000 400206 2477.432 2182.945 116 0
220020000 400206 2062.941 560.2626 264 0
220020000 400206 2665.261 1918.646 105 0
220020000 400206 237.258 597.3112 412 0
220020000 400206 2579.599 1093.009 135 0
220020000 400206 2046.231 336.3195 275 0
220020000 400206 2350.223 2336.815 117 0
220020000 400206 2871.108 2101.269 112 0
220020000 400206 700.7896 342.9671 505 0
220020000 400206 2569.439 1807.43 94 0
220020000 400206 2496.632 2490.345 122 0
220020000 400206 511.1924 290.0425 483 0
220020000 400206 85.08482 370.5777 450 0
220020000 400206 1979.768 554.1051 271 0
220020000 400206 2979.064 2200.687 122 0
220020000 400206 717.5729 264.4531 511 0
220020000 400206 2113.172 2736.379 239 0
220020000 400206 2189.448 3012.566 253 0
220020000 400206 2326.984 2501.083 118 0
220020000 400206 2664.88 2531.164 162 0
220020000 400206 2276.73 2719.982 234 0
220020000 400206 2867.222 2534.301 172 0
220020000 400206 444.0449 431.7234 475 0
220020000 400206 2825.076 1357.521 114 0
220020000 400206 2403.952 2208.079 121 0
220020000 400206 1624.866 1261.834 26 0
220020000 400206 2438.104 1147.794 131 0
220020000 400206 395.3799 678.5939 391 0
220020000 400206 1967.94 496.5424 279 0
220020000 400206 2891.781 2978 177 0
220020000 400206 1958.65 2056.926 225 0
220020000 400206 2749.181 1152.605 133 0
220020000 400206 2085.894 1749.075 191 0
220020000 400206 2442.82 1961.675 101 0

#Aether Extraction

#Small Vortex 75p
220020000 401005 421.8388 2447.229 473 0
220020000 401005 236.6647 2467.913 464 0
220020000 401005 300.7807 2328.461 470 0
220020000 401005 366.2337 2272.818 462 0
220020000 401005 336.9283 2483.304 463 0
220020000 401005 401.6289 2336.114 460 0
220020000 401005 330.1136 2219.878 471 0
220020000 401005 241.8109 2393.294 469 0
220020000 401005 168.736 2373.738 466 0
220020000 401005 246.4424 2252.29 467 0

#Big Vortex 100p
220020000 401007 317.3389 2265.999 482 0
220020000 401007 208.5823 2381.598 508 0
220020000 401007 413.2474 2263.462 484 0
220020000 401007 338.8132 2427.883 503 0
220020000 401007 206.2069 2464.413 485 0
220020000 401007 274.931 2299.56 498 0
220020000 401007 286.0552 2228.696 500 0
220020000 401007 208.1667 2285.024 489 0
220020000 401007 436.3443 2337.813 501 0
220020000 401007 345.27 2370.25 478 0
220020000 401007 292.4738 2472.025 480 0
220020000 401007 248.0249 2339.63 494 0
220020000 401007 303.5374 2448.383 490 0
220020000 401007 433.1006 2399.591 492 0
220020000 401007 184.5993 2447.685 507 0
220020000 401007 268.2304 2397.37 496 0
220020000 401007 259.1677 2453.322 509 0
220020000 401007 389.9771 2473.717 505 0
220020000 401007 290.9326 2385.856 510 0
220020000 401007 182.6716 2329.877 487 0

#Big Vortex 125p
220020000 401010 326.1273 2512.75 518 0
220020000 401010 418.4023 2370.91 521 0
220020000 401010 312.9451 2270.199 515 0
220020000 401010 313.4442 2416.066 511 0
220020000 401010 379.3832 2376.183 513 0
220020000 401010 356.1826 2345.601 520 0
220020000 401010 205.6758 2501.173 526 0
220020000 401010 366.201 2235.398 522 0
220020000 401010 157.1654 2311.35 524 0
220020000 401010 186.3965 2414.675 516 0

#Big Vortex 150p
220020000 401011 324.1017 2370.212 535.5906 0
220020000 401011 171.2386 2291.128 535 0
220020000 401011 283.6443 2516.563 531 0
