# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Altgard

#Silver
220030000 400101 1833.066 1259.376 285 0
220030000 400101 1563.554 816.178 256 0
220030000 400101 1462.181 836.0176 249 0
220030000 400101 1556.76 846.3538 249 0
220030000 400101 1409.912 732.6328 272 0
220030000 400101 1970.638 1097.9 277 0
220030000 400101 1850.327 1178.338 289 0
220030000 400101 1366.22 825.4594 265 0
220030000 400101 1305.266 650.7672 293 0
220030000 400101 1865.049 974.3875 260 0
220030000 400101 1932.393 1063.666 269 0
220030000 400101 1451.385 775.9607 258 0
220030000 400101 1817.627 1032.082 270 0
220030000 400101 1382.88 834.0849 252 0
220030000 400101 1440.838 910.5521 261 0
220030000 400101 1884.977 946.7693 258 0
220030000 400101 1811.952 1378.733 296 0
220030000 400101 1561.57 919.4185 249 0
220030000 400101 1547.444 716.3851 254 0
220030000 400101 1946.87 973.7292 266 0
220030000 400101 1762.83 1410.748 297 0
220030000 400101 1358.759 786.7751 266 0
220030000 400101 1577.101 897.995 249 0
220030000 400101 1382.782 635.7352 282 0
220030000 400101 1330.906 627.365 290 0
220030000 400101 1789.312 1091.463 269 0

#Aether Extraction

#Small Vortex 1p
220030000 401001 1706.325 1958.566 278 0
220030000 401001 1580.555 1750.69 294 0
220030000 401001 1765.395 1679.874 270 0
220030000 401001 1516.875 1833.953 307 0
220030000 401001 1610.715 1953.223 303 0
220030000 401001 1618.62 1862.125 283 0
220030000 401001 1593.955 1691.933 298 0
220030000 401001 1668.744 1724.137 314 0
220030000 401001 1851.067 1759.257 322 0
220030000 401001 1730.981 1806.35 319 0
220030000 401001 1564.489 1991.305 344 0
220030000 401001 1670.648 1843.967 310 0
220030000 401001 1829.876 1925.848 330 0
220030000 401001 1486.277 1694.095 290 0
220030000 401001 1558.282 1637.015 340 0
220030000 401001 1804.563 1606.795 326 0
220030000 401001 1605.597 1894.649 333 0
220030000 401001 1500.302 1941.873 287 0
220030000 401001 1654.589 1631.134 274 0
220030000 401001 1442.255 1820.367 337 0

#Small Vortex 25p
220030000 401003 1664.756 1992.197 356 0
220030000 401003 2620.393 1746.925 275 0
220030000 401003 2595.757 1679.645 303 0
220030000 401003 2489.691 1640.158 291 0
220030000 401003 1713.458 1758.009 383 0
220030000 401003 1802.399 1873.148 375 0
220030000 401003 1718.735 1908.456 372 0
220030000 401003 2717.656 1613.241 279 0
220030000 401003 2570.881 1584.625 283 0
220030000 401003 1887.037 1688.245 379 0
220030000 401003 1555.889 1814.163 360 0
220030000 401003 1712.708 1652.952 348 0
220030000 401003 2545.716 1707.466 306 0
220030000 401003 1889.673 1860.571 352 0
220030000 401003 2664.256 1801.236 299 0
220030000 401003 2564.925 1791.55 295 0
220030000 401003 2587.958 1509.852 287 0
220030000 401003 1441.531 1714.62 363 0
220030000 401003 1514.448 1906.126 367 0
220030000 401003 2648.301 1550.112 310 0

#Small Vortex 50p
220030000 401004 2622.208 1808.211 339 0
220030000 401004 1787.333 1754.877 411 0
220030000 401004 2485.748 1784.505 343 0
220030000 401004 2765.411 1634.031 318 0
220030000 401004 1591.152 1818.94 394 0
220030000 401004 1449.479 1916.006 407 0
220030000 401004 2485.336 1576.682 352 0
220030000 401004 2630.048 1706.966 331 0
220030000 401004 1549.84 1705.993 402 0
220030000 401004 2439.245 1633.885 347 0
220030000 401004 2592.938 1574.048 327 0
220030000 401004 2693.113 1697.421 335 0
220030000 401004 1563.569 1911.732 423 0
220030000 401004 1701.637 1617.467 390 0
220030000 401004 2623.55 1609.934 315 0
220030000 401004 2712.242 1532.581 322 0
220030000 401004 1706.545 1834.248 387 0
220030000 401004 1620.398 2008.497 398 0
220030000 401004 1825.58 1690.958 415 0
220030000 401004 1743.847 1606.604 419 0

#Small Vortex 75p
220030000 401005 2666.937 1749.975 387 0
220030000 401005 2706.932 1572.397 380 0
220030000 401005 2533.913 1636.761 360 0
220030000 401005 2659.764 1846.868 372 0
220030000 401005 2534.98 1535.974 363 0
220030000 401005 2571.508 1753.69 355 0
220030000 401005 2473.196 1692.284 391 0
220030000 401005 2634.941 1482.276 376 0
220030000 401005 2618.41 1563.332 383 0
220030000 401005 2445.924 1721.017 367 0

#Big Vortex 100p
220030000 401007 2531.641 1835.368 429 0
220030000 401007 2573.195 1622.005 399 0
220030000 401007 2506.183 1715.382 410 0
220030000 401007 2714.804 1768.984 425 0
220030000 401007 2523.464 1773.793 407 0
220030000 401007 2581.202 1715.86 395 0
220030000 401007 2646.705 1681.662 403 0
220030000 401007 2737.048 1696.321 422 0
220030000 401007 2498.914 1526.741 413 0
220030000 401007 2774.515 1573.82 413 0
