# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Beluslan

#Platinum
220040000 400103 1063.9 853.2599 230 0
220040000 400103 1030.316 673.3878 353 0
220040000 400103 1490.69 1530.542 321 0
220040000 400103 792.8918 704.5755 249.9656 0
220040000 400103 1563.11 1348.17 328 0
220040000 400103 1172.966 901.3549 223 0
220040000 400103 1156.44 431.14 342 0
220040000 400103 1721.978 1100.241 273 0
220040000 400103 984.3847 1146.972 234 0
220040000 400103 1087.24 648.79 359 0
220040000 400103 1236.47 1176.19 225 0
220040000 400103 1536.835 444.8596 282 0
220040000 400103 986.5729 808.289 250 0
220040000 400103 1299.038 684.3748 247 0
220040000 400103 842.1453 926.824 276 0
220040000 400103 1168.84 339.87 334 0
220040000 400103 360.4971 106.2634 236 0
220040000 400103 1415.311 295.0568 275 0
220040000 400103 1207.13 1049.33 207 0
220040000 400103 1112.24 293.15 322 0
220040000 400103 1393.23 1276.98 241 0
220040000 400103 1397.38 1073.14 147 0
220040000 400103 942.95 890.16 257 0
220040000 400103 1267.968 1321.375 255 0
220040000 400103 650.34 1309.49 232 0
220040000 400103 1134.58 1386.566 242 0
220040000 400103 720.6985 481.3199 300 0
220040000 400103 1034.79 473.06 291 0
220040000 400103 507.6312 136.7754 240 0
220040000 400103 1447.241 1462.266 299 0
220040000 400103 956.9883 531.9958 305 0
220040000 400103 480.0953 104.3408 240.3154 0
220040000 400103 1588.041 1273.425 274 0
220040000 400103 1511.01 1007.19 254 0
220040000 400103 1162.985 1075.257 223 0
220040000 400103 908.326 1313.534 222 0
220040000 400103 1583.68 1546.61 327 0
220040000 400103 1422.01 1152.95 169 0
220040000 400103 301.953 607.4526 242 0
220040000 400103 1305.44 1027.4 237 0
220040000 400103 1796.83 756.6141 321 0
220040000 400103 981.4407 1506.737 232 0
220040000 400103 1604.815 938.0842 281 0
220040000 400103 1413.595 817.5078 314 0
220040000 400103 476.1107 1000.711 261 0
220040000 400103 264.0297 136.9311 249 0
220040000 400103 1287.969 409.6195 281 0
220040000 400103 107.453 353.2209 247 0
220040000 400103 1395.881 1431.729 315.4794 0
220040000 400103 973.47 267.06 373 0
220040000 400103 1464.12 1170.82 214 0
220040000 400103 1056.747 290.7339 349 0
220040000 400103 688.1982 779.1544 225 0
220040000 400103 795.2377 536.3115 282 0
220040000 400103 1702.64 1349.61 328 0
220040000 400103 1401.167 379.9584 307 0
220040000 400103 1589.39 852.25 326 0
220040000 400103 1303.664 567.4379 262 0
220040000 400103 181.9394 495.653 234 0
220040000 400103 1195.241 515.2689 297 0
220040000 400103 1155.08 1110.84 217 0
220040000 400103 1682.393 844.5265 308 0
220040000 400103 1580.72 787.13 329 0
220040000 400103 561.172 920.7211 248 0
220040000 400103 1623.36 1249.85 290 0
220040000 400103 1674.14 1182.18 274 0
220040000 400103 1161.833 1153.184 216 0
220040000 400103 1560.86 1551.9 329 0
220040000 400103 1078.79 397.25 298 0
220040000 400103 1039.903 400.7218 299 0
220040000 400103 565.8718 303.8272 227 0
220040000 400103 1385.88 929.93 244 0
220040000 400103 1115.792 1031.823 250 0
220040000 400103 1167.07 1190.99 222 0
220040000 400103 1599.9 812.61 320 0
220040000 400103 1094.76 457.49 295 0
220040000 400103 219.4425 546.8356 249 0
220040000 400103 1657.7 1046.544 264 0
220040000 400103 1379.306 1416.24 308 0
220040000 400103 1179.096 734.953 249 0
220040000 400103 987.17 628.25 331 0
220040000 400103 1124.19 446.95 341 0
220040000 400103 1144.69 369.18 337 0
220040000 400103 1438.66 1019.69 217 0
220040000 400103 698.5709 730.943 227 0
220040000 400103 1065.11 1206.598 227 0
220040000 400103 650.756 796.7704 221 0
220040000 400103 1220.82 1151.28 219 0
220040000 400103 1385.04 1175.06 195 0
220040000 400103 1044.74 317 352 0
220040000 400103 735.1705 637.8572 260 0
220040000 400103 117.1129 247.0169 249 0

#Mithril
220040000 400104 2314.97 623.28 405 0
220040000 400104 2749.55 2949.14 704 0
220040000 400104 2871.002 1007.19 475 0
220040000 400104 1467.24 2254.4 627 0
220040000 400104 2666.607 2735.323 688 0
220040000 400104 1947.52 1597.11 561 0
220040000 400104 2021.271 1127.898 405 0
220040000 400104 2525.21 799.01 373 0
220040000 400104 2008.69 801.06 375 0
220040000 400104 1902.09 1007.12 347 0
220040000 400104 2114.21 1182.15 402 0
220040000 400104 1846.14 1635.7 564 0
220040000 400104 1600.033 2159.12 600 0
220040000 400104 2666.78 2187.09 558 0
220040000 400104 2851.3 1364.88 496 0
220040000 400104 2648.58 1980.03 592 0
220040000 400104 2084.616 2470.84 609 0
220040000 400104 2985.83 1155.76 494 0
220040000 400104 2886.33 2702.67 683 0
220040000 400104 1722.68 1959.48 588 0
220040000 400104 2025.22 1322.95 400 0
220040000 400104 2564.29 2945.64 687 0
220040000 400104 2017.74 1241.75 385 0
220040000 400104 2075.041 2397.305 587 0
220040000 400104 2536.66 2582.84 684 0
220040000 400104 2943.26 1288.82 496 0
220040000 400104 2799.09 1045.49 475 0
220040000 400104 2395.95 949.17 374 0
220040000 400104 2218.87 1933.05 567 0
220040000 400104 2590.34 1400.78 396 0
220040000 400104 2491.45 2058.98 585 0
220040000 400104 1821.38 1531.26 572 0
220040000 400104 2716.14 1248 376 0
220040000 400104 2561.78 1160.78 371 0
220040000 400104 2542.3 2010.08 589 0
220040000 400104 1804.29 1603.39 571 0
220040000 400104 2776.8 2639.62 668 0
220040000 400104 2714.64 963.31 378 0
220040000 400104 2543.048 506.7308 381 0
220040000 400104 2333.72 2283.78 566 0
220040000 400104 2889.36 925.49 490 0
220040000 400104 2669.11 1495.35 410 0
220040000 400104 2153.13 1823.51 557 0
220040000 400104 2433.303 2128.39 574 0
220040000 400104 1919.85 1316.08 380 0
220040000 400104 2009.06 964.95 357 0
220040000 400104 1996.29 693.1 361 0
220040000 400104 2961.48 681.75 517 0
220040000 400104 2817.93 198.28 294 0
220040000 400104 2133.08 659.12 379 0
220040000 400104 2724.19 1263.76 394 0
220040000 400104 2569.18 1480.55 402 0
220040000 400104 2000.06 1696.05 547 0
220040000 400104 2784.5 2659.38 681 0
220040000 400104 1721.265 1758.748 579 0
220040000 400104 2004.68 1138.23 374 0
220040000 400104 1935.52 1172.91 369 0
220040000 400104 2696.43 2077.21 550 0
220040000 400104 2520 1221.61 372 0
220040000 400104 1950.57 1617.03 558 0
220040000 400104 2750.46 2830.28 698 0
220040000 400104 2920.166 1231.851 492 0
220040000 400104 2982.826 889.5522 505 0
220040000 400104 1970.46 2676.49 610 0
220040000 400104 2755.207 612.3253 517 0
220040000 400104 2630.35 2118.17 556 0
220040000 400104 1994.45 2554.32 596 0
220040000 400104 1814.53 1628.85 565 0
220040000 400104 2552.53 788.19 379 0
220040000 400104 1893.13 1641.08 556 0
220040000 400104 1612.31 1883.5 601 0
220040000 400104 2661.04 286.37 290 0
220040000 400104 2440.66 574.52 415 0
220040000 400104 2443.938 2025.16 595 0
220040000 400104 1809.65 1697.35 566 0
220040000 400104 1720.3 1712.53 575 0
220040000 400104 2262.14 1085.94 378 0
220040000 400104 2641.548 1324.893 390 0
220040000 400104 2576.3 955.95 379 0
220040000 400104 1894.23 2582.81 602 0
220040000 400104 2463.47 1149.34 367 0
220040000 400104 2493.16 2902.84 694 0
220040000 400104 2760.28 1048.85 378 0
220040000 400104 2310.306 2146.019 589 0
220040000 400104 2314.9 2450.08 608 0
220040000 400104 2888.07 771.26 505 0
220040000 400104 2867.37 2556.49 658 0
220040000 400104 2717.1 1331.84 387 0
220040000 400104 2655.1 2953.76 689 0
220040000 400104 2685.51 2838.19 689 0
220040000 400104 2016.71 1787.5 549 0
220040000 400104 2332.94 2434.67 584 0
220040000 400104 2702.941 2540.984 653 0
220040000 400104 1908.57 1283.72 380 0
220040000 400104 1500.877 2016.71 601 0
