# Gathering spawns by LIONz.
# When I Have More Info I Will Add Them,
# mapid resourceid x z y heading

#Brusthonin

#Mithril
220050000 400104 2050.216 2798.925 74.33278 0
220050000 400104 1085.461 2733.151 127.1529 0
220050000 400104 968.6992 2470.909 99.81627 0
220050000 400104 1164.831 2428.32 85.23342 0
220050000 400104 1246.91 1554.1 57.86299 0
220050000 400104 1846.667 723.3682 47.18912 0
220050000 400104 1360.082 2599.883 79.35645 0
220050000 400104 970.8356 1399.601 73.43278 0
220050000 400104 1100.995 2333.774 84.45556 0
220050000 400104 1200.072 1282.424 42.61053 0
220050000 400104 1315.932 2545.936 93.40128 0
220050000 400104 1954.781 2968.883 76.44103 0
220050000 400104 2045.873 2995.65 78.44217 0
220050000 400104 744.6704 2416.834 112.2095 0
220050000 400104 1630.183 447.9914 76.53237 0
220050000 400104 1016.516 2439.605 93.4279 0
220050000 400104 2013.834 2862.498 91.33949 0
220050000 400104 1261.967 2561.722 99.04144 0
220050000 400104 1346.353 1328.898 44.68896 0
220050000 400104 1487.466 2649.122 89.03005 0
220050000 400104 1782.058 2823.479 80.98515 0
220050000 400104 819.3292 2510.533 96.08736 0
220050000 400104 763.967 2634.965 107.336 0
220050000 400104 2124.357 2918.937 70.06355 0
220050000 400104 2181.148 2988.292 131.175 0
220050000 400104 1442.581 1222.861 44.02699 0
220050000 400104 1067.137 2841.976 141.6424 0
220050000 400104 1932.079 1288.871 47.9875 0
220050000 400104 1055.115 2561.825 95.38954 0
220050000 400104 1704.915 2896.621 69.75134 0
220050000 400104 1751.306 2726.203 94.85341 0
220050000 400104 1662.06 2999.097 76.82561 0
220050000 400104 1283.578 2311.761 61.44847 0
220050000 400104 2190.594 2781.894 72.20736 0
220050000 400104 1604.736 2895.763 73.90142 0
220050000 400104 1273.488 1485.048 47.62567 0
220050000 400104 698.9312 2568.784 101.8836 0
220050000 400104 1312.335 1616.153 41.96882 0
220050000 400104 1377.484 2722.746 99.56165 0
220050000 400104 900.165 2423.996 84.48614 0
220050000 400104 1520.807 2924.215 84.39693 0
220050000 400104 1285.478 1771.967 42.64422 0
220050000 400104 1235.168 2277.855 66.62819 0
220050000 400104 788.8213 2579.832 98.84077 0
220050000 400104 2162.037 2837.325 72.54798 0
220050000 400104 1799.248 2886.14 85.13634 0
220050000 400104 1005.649 2587.518 119.0382 0
220050000 400104 1162.569 2642.878 94.35828 0
220050000 400104 1029.263 1573.586 44.11036 0
220050000 400104 1106.283 2504.874 97.3848 0
220050000 400104 975.1638 2382.248 84.0413 0
220050000 400104 1430.9 2709.317 97.53474 0
220050000 400104 1144.057 2508.525 101.2833 0
220050000 400104 1369.673 2487.248 70.2048 0
220050000 400104 1976.112 613.1946 57.82317 0
220050000 400104 728.7656 2608.888 112.3746 0
220050000 400104 1989.888 1169.553 50.24711 0
220050000 400104 1450.71 1084.565 47.08325 0
220050000 400104 1863.531 1755.355 55.9747 0
220050000 400104 2134.955 1027.897 78.21283 0
220050000 400104 1918.785 2858.019 88.51212 0
220050000 400104 1624.432 1714.897 49.47262 0
220050000 400104 2007.529 2963.77 73.19103 0
220050000 400104 1028.766 1323.525 58.21169 0
220050000 400104 1402.377 2674.107 97.84953 0
220050000 400104 1339.815 2924.779 117.2081 0
220050000 400104 1648.316 930.6253 45.42947 0
220050000 400104 1337.524 2525.654 80.91692 0
220050000 400104 887.8244 2345.86 85.81102 0
220050000 400104 1868.384 2916.602 73.02931 0
220050000 400104 2234.594 2836.295 69.7059 0
220050000 400104 1584.939 1480.026 43.32158 0
220050000 400104 828.1933 2540.44 94.97754 0
220050000 400104 1679.108 550.561 59.51675 0
220050000 400104 1640.334 2745.659 89.47504 0
220050000 400104 1113.359 2394.936 84.45556 0
220050000 400104 1865.714 2945.989 76.98699 0
220050000 400104 1079.399 2425.368 82.94954 0
220050000 400104 1041.718 2937.76 167.9622 0
220050000 400104 1539.817 810.0159 52.55208 0
220050000 400104 1232.794 2738.92 120.515 0
220050000 400104 1054.388 2349.165 88.28822 0
220050000 400104 1127.374 2290.132 78.76736 0
220050000 400104 964.7556 2510.537 103.0947 0
220050000 400104 2060.35 2945.495 71.4495 0
220050000 400104 1804.024 1515.747 44.73458 0
220050000 400104 1600.493 680.886 42.38725 0
220050000 400104 1176.355 2329.217 74.32899 0
220050000 400104 1409.818 2969.178 111.0161 0
220050000 400104 1312.279 1246.808 42.54457 0
220050000 400104 1820.936 1003.305 57.83945 0
220050000 400104 1209.611 2352.27 69.31573 0
220050000 400104 2060.052 1346.645 83.11108 0
220050000 400104 1154.053 2347.056 74.86131 0
220050000 400104 1154.985 2709.626 121.5044 0
220050000 400104 1132.801 1784.423 42.68379 0
220050000 400104 1249.01 2427.053 82.76083 0
220050000 400104 881.2419 2476.66 88.08125 0
220050000 400104 2114.69 687.0583 65.47231 0
220050000 400104 1466.499 2527.031 97.15691 0
220050000 400104 1892.723 1371.11 49.29017 0
220050000 400104 704.0734 2522.788 104.835 0
220050000 400104 2112.341 1239.801 79.51668 0
220050000 400104 1207.921 2412.044 83.77224 0
220050000 400104 837.7874 2438.8 85.63496 0
220050000 400104 1709.001 1678.76 47.45466 0
220050000 400104 1580.783 2803.938 86.866 0
220050000 400104 1879.524 2813.108 84.00088 0
220050000 400104 1100.311 2244.055 85.00758 0
220050000 400104 1067.438 1445.807 45.1331 0
220050000 400104 1116.887 2463.65 86.51421 0
