# Monster spawns by Nadilas.
# Still Some Mobs Missing 
# When I Have More Info I Will Add Them,
# Remember The Spawns Need A Little Rework Later.
# Updated Missing Spawns By DPGuide & Corrected By Darkwolf999
# Updated and fixed more spawns by Atomix from http://aion.atomixro.com
# mapid npcid x y z heading

#Poeta

#Captain Paruru
210010000 210673 647.9125 891.6571 103.625 83
#Ancient Cube
210010000 700001 231.6 2006.1 150.65 66
# Digging Kerub
210010000 210664 924.1846 1115.4253 103.238464 47
210010000 210664 1025.0585 1171.2032 113.73532 112
210010000 210664 949.7078 1092.0751 107.61516 39
210010000 210664 1016.30786 1144.0087 110.64424 90
210010000 210664 949.09033 1076.3704 107.443146 112
210010000 210664 916.5014 1066.9583 108.45902 26
210010000 210664 913.0 1081.0 107.625 15
210010000 210664 930.7802 1081.3403 107.61746 65
210010000 210664 939.5359 1059.7887 108.51389 45
210010000 210664 1018.0 1163.0 113.25 15
210010000 210664 917.5888 1102.1654 103.025696 26
210010000 210664 946.8643 1070.196 130.0 0
# Porgus
210010000 203192 1043.9404 1140.8762 119.220215 86
# Chicken (Qooqoo)
210010000 210340 828.21094 1220.3718 118.38818 7
210010000 210340 850.3926 1234.2955 119.100464 51
210010000 210340 862.36426 1224.3661 118.875 25
210010000 210340 833.51263 1244.5859 118.875 81
210010000 210340 858.77325 1224.4141 118.75 43
210010000 210340 847.8922 1239.8088 119.36979 74
210010000 210340 842.67737 1249.8641 119.09965 67
210010000 210340 816.17896 1230.9375 118.75 83
# lile drake (Temed Griffon
210010000 203351 819.722 1240.3114 118.625 104
# Rake Claw Slink
210010000 210065 1002.09564 1242.7563 99.125 27
210010000 210065 962.7631 1231.209 101.321014 46
210010000 210065 1011.21954 1233.393 99.92921 3
210010000 210065 977.7087 1240.3811 99.35118 23
210010000 210065 986.69904 1230.0303 100.61932 79
210010000 210065 599.0242 1123.7543 99.375 112
210010000 210065 591.94867 1133.4276 99.371796 108
210010000 210065 605.6021 1130.6833 99.77553 94

210010000 210066 581.54565 1074.6995 99.375 115
210010000 210066 596.414 1027.6122 99.375 25
210010000 210066 565.4412 1068.898 99.375 16
210010000 210066 584.3582 1054.712 99.375 17
