# Monster spawns by Atomix from http://aion.atomixro.com
# Fix by Popinfresh, Silfro & gamesh.
# Mob missing ?
# Remember The Spawns Need A Little Rework Later.
# Thanks to TheOne & Matej for helping me.
# mapid npcid x y z heading

# Verteron

# Ancient Elyos Spirit
210030000 210343 2163.387 2303.742 257 109
210030000 210343 2100.644 2272.429 230.63837 108
210030000 210343 2044.534 2299.813 265.8867 4
210030000 210343 1987.392 2759.41 287.3952 118
210030000 210343 2042.974 2333.468 264.6194 114
210030000 210343 2151.833 2134.784 184.63863 112
210030000 210343 2075.13 2312.156 257.96106 117
210030000 210343 2182.679 2379.918 258.76962 47
210030000 210343 2151 2134 185 21
# Aqueous Spirit
210030000 210080 2358.846 1720.273 109.14206 112
210030000 210080 2282.183 1784.429 109.375 92
210030000 210080 2294.737 1887.677 108.875 117
210030000 210080 2425.59 1778.949 109.25 73
210030000 210080 2296.832 1847.82 109.375 60
210030000 210080 2263.139 1766.818 110 35
210030000 210080 2392.004 1776.215 111 21
210030000 210080 2284.377 1878.782 109.25 107
210030000 210080 2330.05 1862.61 110 104
210030000 210080 2267.587 1802.565 109.375 65
210030000 210080 2407.905 1833.412 108.891426 104
210030000 210080 2379.751 1802 111 34
210030000 210080 2273.026 1832.487 109.37744 88
210030000 210080 2301.19 1729.99 109.375 5
210030000 210080 2338.537 1755.03 109.375 100
210030000 210080 2372.688 1837.25 109.296875 66
210030000 210080 2269.101 1757.678 110 7
210030000 210080 2310.122 1727.225 109.42344 57
# Arachna
210030000 210745 1949.22 2663.166 296.07962 40
210030000 210745 2043.563 2641.642 300 55
210030000 210745 1867.044 2548.526 300.755 5
210030000 210745 1908.089 2536.583 298.78543 111
210030000 210745 2040.818 2624.803 298.60037 20
210030000 210745 1847.596 2556.977 298.43607 80
210030000 210745 2014.023 2603.737 296.66074 65
210030000 210745 1952.704 2636.636 297.43298 118
210030000 210745 1921.191 2528.381 298.2768 35
210030000 210745 1967.145 2664.11 295.8681 69
210030000 210745 2028.862 2598.158 299.5609 59
210030000 210745 1968.655 2645.052 300.57538 119
210030000 210745 1894.07 2542.92 299.5688 102
210030000 210745 1939.469 2544.916 296.76324 109
210030000 210745 1954.036 2539.349 299.28394 88
# Broken Rock Kalgolem
210030000 210106 1946.776 2765.416 281.8995 70
210030000 210106 1886.811 2744.067 271.05487 12
210030000 210106 2080.658 2142.35 202.062 13
210030000 210106 1965.612 2706.287 293.72577 6
210030000 210106 2162.269 2341.174 253.20886 6
210030000 210106 1927.68 2568.77 395.0031 38
210030000 210106 2190.18 2150.97 174.41687 114
210030000 210106 1960.063 2553.382 292.65967 55
210030000 210106 1950.174 2808.466 277.06912 49
210030000 210106 1988.392 2710.754 296.34048 11
210030000 210106 2138.84 2290.25 238.22438 59
210030000 210106 2132.29 2137.253 191.19562 42
210030000 210106 1915.641 2823.619 277.9762 67
210030000 210106 1998.333 2785.253 283.2751 118
210030000 210106 1857.811 2552.274 298.82895 14
210030000 210106 2001.594 2683.303 295.98712 116
210030000 210106 1945.328 2686.239 294.3722 87
210030000 210106 2010.51 2587.193 297.16248 78
210030000 210106 1881.622 2792.551 275.55807 60
210030000 210106 2117.69 2352.117 251.9163 14
210030000 210106 1984.248 2646.537 302.31042 1
210030000 210106 2002.368 2431.195 274.63068 85
210030000 210106 1940.588 2617.228 295.12918 11
210030000 210106 1796.8 2772.315 273.91437 84
210030000 210106 1958.75 2649.42 298.34875 27
210030000 210106 1825.828 2761.045 276.88013 92
210030000 210106 1975.844 2572.458 295.20816 30
210030000 210106 2064.248 2343.604 261.54547 101
210030000 210106 2031.803 2315.61 263.82336 2
210030000 210106 1962.385 2734.628 302.75534 3
210030000 210106 2056.134 2376.147 265.78836 44
210030000 210106 1973.265 2392.95 291.15125 2
210030000 210106 2223.89 2313.259 264.16867 101
210030000 210106 2171.174 2364.442 257.0254 87
210030000 210106 1869.547 2764.915 275.77066 93
210030000 210106 2016.898 2651.866 299.56158 45
# Brownbeak Airon
210030000 210203 1910.305 1444.802 99 85
210030000 210203 1555.468 1282.82 99.09175 58
210030000 210203 1742.702 1723.738 99.73363 22
210030000 210203 1602.574 1263.451 99.08913 20
210030000 210203 1143.843 1808.056 99.0035 43
210030000 210203 1529.492 1705.611 99.220665 41
210030000 210203 1729.924 1709.911 99.37975 102
210030000 210203 1573.613 1361.134 98.95331 55
210030000 210203 1500.27 1572.223 99.35812 18
210030000 210203 1560.932 1684.578 98.7415 0
210030000 210203 1514.173 1556.895 100.21568 13
210030000 210203 1914.425 1411.405 99.27793 22
210030000 210203 1580.365 1707.219 98.625 18
210030000 210203 1754.427 1711.472 99.25 0
210030000 210203 1797.869 1576.143 99.01 79
210030000 210203 1910.109 1436.089 98.76 51
210030000 210203 1497.051 1547.37 100.67744 91
210030000 210203 1162.097 1781.764 99.393196 42
210030000 210203 1551.181 1704.132 98.625 67
210030000 210203 1593.153 1707.901 98.637375 65
210030000 210203 1866.035 1467.716 99 78
210030000 210203 1597.847 1268.531 99.15819 30
210030000 210203 1951.606 1451.629 98.759995 34
210030000 210203 1158.747 1789.467 99.18506 68
210030000 210203 1836.563 1563.138 99.385 15
210030000 210203 1565.118 1382.689 99.61294 100
210030000 210203 1937.731 1425.736 99.10265 94
210030000 210203 1453.669 1493.845 99 74
210030000 210203 1574.945 1368.805 99.35063 70
210030000 210203 1829.239 1577.349 98.933044 110
210030000 210203 1455.821 1490.879 98.76 28
210030000 210203 1565.803 1258.72 99.125 102
210030000 210203 1798.756 1579.046 99.01 73
210030000 210203 1471.181 1470.578 99.323814 5
210030000 210203 1869.813 1421.128 99.066185 35
210030000 210203 1156.738 1754.131 99.342255 58
210030000 210203 1962.044 1443.152 99.125 112
210030000 210203 1882.739 1459.203 99 90
210030000 210203 1587.343 1349.426 98.885 52
210030000 210203 1509.647 1574.627 99.39212 15
# Captain Kinsgreen
210030000 210075 2116.237 634.439 100.12865 74
# Chieftain Kraka
210030000 210187 2617.029 1111.371 200.22067 18
# Contaminated Malodor
210030000 210329 1552.65 2488.51 138.81686 76
210030000 210329 1671.661 2469.225 134.77692 57
210030000 210329 1721.965 2419.68 142.31001 22
210030000 210329 1714.133 2351.136 137.30363 36
210030000 210329 1596.173 2404.279 135.22174 56
210030000 210329 1604.87 2484.6 138.4169 98
210030000 210329 1582.298 2304.609 146.84161 50
210030000 210329 1698.537 2213.923 174.22604 12
210030000 210329 1681.161 2418.356 130.06793 3
210030000 210329 1642.937 2393.079 133.06644 60
210030000 210329 1636.685 2349.142 131.96799 48
210030000 210329 1734 2234 176.25 43
# Contaminated Pluma
210030000 210344 2179.912 2360.529 257.261 109
210030000 210344 1973.252 2738.188 302.578 98
210030000 210344 1997.899 2752.565 289.79175 111
210030000 210344 2003.498 2697.265 296.82684 89
210030000 210344 2015.612 2372.936 278 30
210030000 210344 1972.962 2397.462 291.3845 17
210030000 210344 2122.552 2281.584 235.41 6
210030000 210344 1981.806 2476.908 303.32712 29
210030000 210344 1935.878 2717.263 290.8718 6
210030000 210344 2095.365 2349.632 256.7893 29
210030000 210344 2163.637 2386.869 262.51523 110
210030000 210344 2187.722 2125.252 170.00381 73
210030000 210344 1918.354 2758.662 282.89798 97
210030000 210344 2179.617 2328.235 253.35106 3
# Contaminated Sylphen(TO REDO)
210030000 210741 1779.434 2444.372 177 88
210030000 210741 1777.256 2409.31 177 95
210030000 210741 1604.11 2341.89 133.02 54
210030000 210741 1629.48 2351.79 132 110
210030000 210741 1639.56 2299.83 140.44 42
210030000 210741 1639.06 2293.56 142.95 17
210030000 210741 1627.78 2351.96 131.88 33
210030000 210741 1599.97 2335.47 134.35 103
210030000 210741 1600.04 2379.76 133.72 25
210030000 210741 1567.78 2363.6 135.65 87
210030000 210741 1649.02 2401.8 133.83 0
210030000 210741 1588.89 2423.36 133.77 9
210030000 210741 1628.47 2356.34 131.35 1
210030000 210741 1636.32 2351.96 131.98 33
210030000 210741 1584.78 2423.5 134.2 36
210030000 210741 1600.39 2335.46 134.33 31
210030000 210741 1596.91 2326.88 136.72 45
210030000 210741 1635.56 2291.24 143.78 111
210030000 210741 1624.53 2362.71 130.84 55
210030000 210741 1568 2365.46 135.41 63
210030000 210741 1598.43 2383.97 134.51 61
210030000 210741 1638 2296.73 141.6 106
# Crack Krall Tower Wallarm
210030000 210694 2305.433 1259.372 176.27916 91
210030000 210694 2418.171 1186.514 190.22095 33
210030000 210694 2293.53 1114.648 169.04613 3
# Crack Tursin Bigmouth
210030000 210168 2397.194 1098.156 169.92644 67
210030000 210168 2331.516 1166.109 164.2402 79
210030000 210168 2491.956 1193.221 186.90262 18
210030000 210168 2288.537 1069.377 157.34424 46
210030000 210168 2270.276 1160.798 159.33778 53
210030000 210168 2499.391 1144.93 182.78806 111
210030000 210168 2385.231 1341.697 190.75 13
210030000 210168 2372.35 1126.252 165.75 78
210030000 210168 2346.98 1124.426 164.27211 37
210030000 210168 2297.014 1062.046 157.5 114
210030000 210168 2525.204 1191.983 186.07419 82
# Crack Tursin Smackstopper
210030000 210179 2356.007 1190.014 166.62677 0
210030000 210179 2598.84 1140.45 192.90312 0
210030000 210179 2182.208 1244.397 167.26181 0
210030000 210179 2393.415 1183.69 168.81906 0
210030000 210179 2488.2764 1174.2814 185.35803 0
210030000 210179 2325.107 1311.566 181.51494 0
210030000 210179 2211.258 1327.213 173.5 0
210030000 210179 2195.88 1277.512 166.5 0
210030000 210179 2574.701 1134.574 193.21413 0
210030000 210179 2235.002 1276.382 162.62549 0
210030000 210179 2168.4683 1225.8712 167.375 0
210030000 210179 2244.291 1206.217 158.35681 0
210030000 210179 2392.075 1273.922 182.02322 0
210030000 210179 2212.463 1248.927 163.44214 0
210030000 210179 2332.017 1238.936 160.75 0
210030000 210179 2586.844 1117.597 193.47574 0
# Crack Tursin Tracker
210030000 210185 2506.062 1196.66 186.20363 75
210030000 210185 2283.88 1121.39 162.56815 49
210030000 210185 2344.08 1264.04 176.13501 55
210030000 210185 2357.072 1183.62 166.55225 34
210030000 210185 2378.759 1316.368 188.79175 52
210030000 210185 2351.936 1159.814 158.875 116
210030000 210185 2479.082 1144.772 185.73975 69
210030000 210185 2336.548 1325.77 184.40825 87
210030000 210185 2316.119 1267.796 173.22552 47
210030000 210185 2441.987 1178.551 188.37257 8
210030000 210185 2191.886 1275.832 166.5105 70
210030000 210185 2352.821 1113.13 165.625 75
210030000 210185 2487.027 1195.253 187.09583 30
210030000 210185 2302.713 1167.434 166.65305 106
210030000 210185 2197.734 1255.812 163.63599 105
210030000 210185 2420.506 1484.337 164.90663 67
210030000 210185 2242.507 1238.026 161.56013 110
210030000 210185 2524.609 1185.148 185.61417 46
210030000 210185 2350.177 1078.088 169.625 93
210030000 210185 2297.547 1084.781 158.52051 9
210030000 210185 2298.104 1277.928 171.116 87
210030000 210185 2469.234 1158.768 186.72076 32
210030000 210185 2572.314 1140.551 192.52443 70
210030000 210185 2260 1296 168.6606 115
# Crimson Malodor
210030000 210070 1603.194 1124.323 114.67962 99
210030000 210070 1579.281 1078.528 113.30475 108
210030000 210070 1609.14 1047.33 117.16214 82
# Dukaki Berserker
210030000 210095 1568.963 1115.089 113.694435 96
210030000 210095 1656.508 1076.771 117.56775 59
210030000 210095 1750.137 976.1392 129.99115 14
210030000 210095 1757.67 1002.866 128 70
210030000 210095 1640.232 1077.355 115.82338 26
210030000 210095 1862.306 1108.924 125.82687 22
210030000 210095 1937.783 1039.909 135.10574 7
210030000 210095 1560.451 1126.931 113.54724 29
210030000 210095 1577.753 1147.267 113.21274 103
210030000 210095 1549.205 1120.21 115.148445 28
210030000 210095 1608.655 1069.773 114.13919 9
# Dukaki Bruiser
210030000 210098 1013.31 2242.68 165.83937 96
210030000 210098 758.8752 2675.522 219.27483 75
210030000 210098 666.9243 2459.464 226.19199 26
210030000 210098 815.2917 2676.079 222.29141 26
210030000 210098 664.3092 2562.746 226.65231 101
210030000 210098 681.4504 2448.808 225.53435 14
210030000 210098 889.42 2308.92 185.27625 58
210030000 210098 855.4766 2516.857 190.8094 40
210030000 210098 691.7225 2533.502 222.95152 32
210030000 210098 905.98 2444.66 188.49371 29
210030000 210098 892.0666 2115.952 151.10835 117
210030000 210098 992.57 2363.44 179.55437 9
210030000 210098 980.53 2459.41 184.55875 41
210030000 210098 717.4988 2555.573 224 95
