# Monster spawns by Darkwolf999.
# Still Some Mobs Missing 
# When I Have More Info I Will Add Them,
# Remember The Spawns Need A Little Rework Later.
# Updated Missing Spawns By DPGuide.
# Updated Missing Spawns by Atomix from http://aion.atomixro.com & fixed by kirkita.
# mapid npcid x y z heading

# Aldelle Basin Highland Sparkle
220010000 210645 585.02783 2794.1394 299.13025 91
220010000 210645 581.2985 2797.3193 299.79514 117
220010000 210645 619.06287 2868.6797 310.4306 63
220010000 210645 632.8363 2850.7568 305.5473 46
220010000 210645 664.87787 2809.0557 298.47226 14
220010000 210645 653.05743 2801.8264 296.76086 59
220010000 210645 660.68555 2791.8123 297.92957 79
# Sprigg Workers
220010000 210364 535.93713 2738.283 294.77753 115
220010000 210364 485.95798 2752.1477 289.89084 5
220010000 210364 486.09204 2845.8042 304.232 38
220010000 210364 435.03375 2761.8892 288.5 81
220010000 210364 631.9706 2776.6418 294.9599 64
220010000 210364 528.9619 2747.8694 294.61206 14
220010000 210364 546.3785 2739.9246 298.14865 11
220010000 210364 389.76816 2811.4968 297.79266 55
220010000 210364 534.1882 2724.2546 296.60007 90
220010000 210364 653.84045 2797.2659 296.91092 69
220010000 210364 524.3686 2733.649 294.19412 100
220010000 210364 433.77756 2808.8337 291.74313 17
220010000 210364 615.4837 2824.768 297.15726 19
220010000 210363 145.85593 2560.2598 307.89124 49
220010000 210363 576.0552 2863.2039 305.42386 62
220010000 210363 136.14554 2616.1255 308.11215 65
220010000 210363 636.44727 2790.8142 294.755 24
220010000 210363 639.08856 2777.6675 295.02078 85
220010000 210363 316.75616 2550.326 288.375 91
220010000 210363 139.56364 2552.431 309.02762 89
220010000 210363 141.62004 2540.4338 308.85126 89
220010000 210363 357.23383 2817.5894 303.87155 73
220010000 210363 262.39062 2818.0105 312.32617 86
220010000 210363 469.9154 2770.8442 288.94724 114
220010000 210363 155.54584 2672.9253 304.87393 86
220010000 210363 453.01004 2865.8293 308.81186 74
220010000 210363 463.475 2863.1343 308.6959 101
220010000 210363 458.9242 2784.1477 288.89346 53
220010000 210363 178.08995 2573.0303 302.30316 118
220010000 210363 292.83545 2562.0671 287.8666 114
220010000 210363 429.42264 2814.6016 293.00864 43
220010000 210363 279.69534 2530.6526 290.20117 70
220010000 210363 347.57327 2837.9067 305.86588 59
220010000 210363 192.22873 2542.243 303.09552 105
220010000 210363 584.1791 2858.7358 302.10318 62
220010000 210363 153.23958 2630.281 306.63223 92
220010000 210363 415.67703 2834.8901 296.02017 51
220010000 210363 149.01703 2536.4243 308.50626 89
220010000 210363 607.1224 2813.131 296.93094 118
220010000 210363 598.62775 2857.0632 301.72656 100
220010000 210363 473.70557 2886.617 308.95212 45
220010000 210363 364.46765 2829.0723 304.25 74
220010000 210363 368.1563 2837.63 304.11523 112
220010000 210363 478.8954 2893.7314 310.43884 114
220010000 210363 332.2475 2832.1702 307.89145 88
220010000 210363 159.0938 2602.2112 310.84714 35
220010000 210363 185.21048 2544.2317 303.47958 105
220010000 210363 212.27264 2526.9502 301.1307 108
220010000 210363 418.83353 2822.4575 294.99628 53
220010000 210363 374.60898 2826.3274 302.97446 90
220010000 210363 367.48407 2717.702 294.3019 88
220010000 210363 252.89508 2830.6826 314.61172 85
220010000 210363 172.79356 2695.999 303.77582 43
220010000 210363 406.09967 2835.725 296.91882 82
220010000 210363 227.38347 2816.8843 314.2718 89
220010000 210363 237.74965 2812.8582 313.40628 107
220010000 210363 622.83673 2803.3257 294.33286 109
220010000 210363 123.74464 2661.923 306.22925 14
220010000 210363 600.904 2841.1316 299.15344 74
220010000 210363 484.64334 2870.956 308.48483 8
220010000 210363 456.95282 2874.8674 308.6359 72
220010000 210363 472.79553 2869.3367 308.4088 23
