# Monster spawns by Atomix from http://aion.atomixro.com
# Mob missing ?
# Remember The Spawns Need A Little Rework Later.
# Thanks to TheOne & Matej for helping me.
# Thanks to Alias for fixing some mobs.
# mapid npcid x y z heading

# Morheim
# Acolyte
220020000 212925 2655.928 2867.029 141.69757 0
220020000 212925 2642.418 2862.883 141.69757 0
220020000 212925 2698.618 2952.337 147 0
220020000 212925 2829.291 2743.222 195.85481 0
220020000 212925 2848.665 2674.403 202.79156 0
220020000 212925 2864.671 2770.891 200.50064 0
220020000 212925 2827.529 2898.991 180.935 0
220020000 212925 2863.577 2622.145 201.3127 0
220020000 212925 2863.672 2875.241 176.09805 0
# Aged Arkanis Guard
220020000 212702 1707.852 1343.654 109.76241 0
220020000 212702 1815.338 1342.48 111.70601 0
220020000 212702 1811.703 1367.096 111.93891 0
220020000 212702 1778.519 1288.841 103.30782 0
220020000 212702 1783.523 1360.482 113.67923 0
220020000 212702 1758.484 1306.079 108.26028 0
# Agile Arachna
220020000 212425 374.4995 1351.797 344.3372 0
220020000 212425 427.6666 1370.879 348.94135 0
220020000 212425 405.1614 1383.017 348.2457 0
220020000 212425 369.7234 1377.989 352.49863 0
220020000 212425 407.3397 1397.066 355.45755 0
220020000 212425 245.9386 1231.761 351.75 0
220020000 212425 247.5103 1255.862 351.625 0
220020000 212425 262.7515 1273.79 305.71616 0
220020000 212425 326.0522 1316.648 351.86823 0
220020000 212425 458.1047 1402.969 371.46027 0
220020000 212425 422.9075 1411.105 361.66437 0
220020000 212425 435.5428 1406.228 361.5533 0
220020000 212425 346.355 1343.141 352.42413 0
# Ancient Mugolem
220020000 212704 1789.649 1334.542 114.31236 0
220020000 212704 1811.589 1316.49 105.16594 0
# Ancient Runed Mugolem
220020000 212705 1725.759 1370.354 118 0
220020000 212705 1782.783 1288.411 104 0
# Andrastar
220020000 212851 2722.4126 2969.238 150.92053 0
220020000 212851 2689.07 2907.4 140.92 0
# Angry Kalgolem
220020000 212473 2281.091 2593.343 214.33394 0
220020000 212473 2183.948 2392.519 242.05838 0
220020000 212473 2219.13 2336.128 234.40723 0
220020000 212473 2246.917 2383.287 232.0636 0
220020000 212473 2229.433 2489.327 229.58173 0
220020000 212473 2156.208 2585.271 234.50787 0
220020000 212473 2090.637 2433.152 250.54742 0
220020000 212473 2136.407 2414.407 236.05087 0
220020000 212473 2138.215 2339.148 229.30882 0
220020000 212473 2243.281 2563.488 219.9717 0
220020000 212473 2305.503 2722.777 235.65927 0
220020000 212473 2101.088 2661.209 246.98279 0
220020000 212473 2194.204 2560.598 224.3741 0
220020000 212473 2178.083 2702.258 223.92395 0
220020000 212473 2155.01 2506.169 230.22763 0
220020000 212473 2328.921 2801.614 242.88924 0
220020000 212473 2253.883 2740.868 232.13583 0
220020000 212473 2208.466 2639.499 225.09805 0
220020000 212473 2145.215 2455.642 239.19191 0
220020000 212473 2270.195 2651.25 218.82812 0
# Angry Sheluk
220020000 212411 565.491 1323.705 268.827 0
220020000 212411 339.0777 1267.76 297.125 0
220020000 212411 351.4335 1245.536 297.125 0
220020000 212411 292.1708 1289.281 297.125 0
220020000 212411 574.9528 1369.437 270.98056 0
220020000 212411 568.3821 1344.468 272.16498 0
220020000 212411 590.1967 1384.418 269.31302 0
220020000 212411 587.5684 1322.128 267.90198 0
220020000 212411 327.7462 1245.632 297.125 0
220020000 212411 308.0125 1263.258 297.125 0
220020000 212411 309.077 1251.07 297.125 0
220020000 212411 293.2758 1284.051 297.125 0
220020000 212411 326.1195 1268.998 297.31238 0
220020000 212411 587 1322 267.9375 0
# Angry Worh
220020000 211313 730.6797 1928.659 354 0
220020000 211313 828.6667 2137.917 335 0
220020000 211313 688.967 1910.669 363 0
220020000 211313 817.0323 2085.874 329.99615 0
220020000 211313 628.1869 1832.523 394 0
220020000 211313 699.4526 1896.42 365 0
# Arcanist
220020000 212918 2644.538 2882.084 141.6961 0
220020000 212918 2655.113 2920.198 149 0
220020000 212918 2717.556 2861.484 137 0
220020000 212918 2766.805 2918.19 165.97562 0
220020000 212918 2655.621 2895.422 142.05902 0
220020000 212918 2681.349 2894.208 141.69609 0
220020000 212918 2699.681 2970.917 152 0
220020000 212918 2740.493 2962.561 152 0
220020000 212918 2868.927 2806.464 199.91484 0
220020000 212918 2849.332 2688.853 202.95825 0
220020000 212918 2832.24 2958.436 175 0
220020000 212918 2921.212 2820.643 207.94632 0
220020000 212918 2643.211 2895.081 141.6961 0
220020000 212918 2805.609 2708.692 194.84491 0
# Arkanis Gargoyle
