# Monster spawns by Atomix from http://aion.atomixro.com
# Mob missing ?
# Remember The Spawns Need A Little Rework Later.
# Thanks to TheOne & Matej for helping me.
# Fix by Iwar & Archaic.
# mapid npcid x y z heading

# Altgard

## Angolem Fragment
220030000 280100 2414.88 784.12 310.485 0
220030000 280100 2411.66 790.04 309.9975 0
220030000 280100 2525.39 785.6 309.625 0
220030000 280100 2507.64 787.47 309.64752 0
220030000 280100 2464.31 728.37 313.1 0
220030000 280100 2464.07 726.53 313.23 0
220030000 280100 2472.06 742.04 311.99377 0
220030000 280100 2465.8 682.62 316.72375 0
220030000 280100 2464.23 686.83 314.16687 0
220030000 280100 2401.17 780.91 310.08438 0
220030000 280100 2406.65 783.29 310.2506 0
220030000 280100 2547.24 780.61 309.70123 0
220030000 280100 2535.96 783.34 309.625 0
220030000 280100 2463.86 823.08 312.4938 0
220030000 280100 2465.6 819.03 313.83533 0
220030000 280100 2419.72 778.76 310.98248 0
220030000 280100 2423.51 774.43 311.91562 0
220030000 280100 2426.75 761.58 313.5554 0
220030000 280100 2429.2 771.12 312.21002 0
# Angry Karnif
220030000 210554 1408.501 1285.734 275.3268 0
220030000 210554 1638.7 1155.542 260.60724 0
220030000 210554 1430.095 1282.637 273.02237 0
220030000 210554 1479.984 1305.195 270.05032 0
220030000 210554 1524.187 1315.593 271.6367 0
220030000 210554 1640.019 1164.304 261.3153 0
220030000 210554 1522.375 1296.458 273.64056 0
220030000 210554 1477.664 1311.188 269.792 0
## Angry Mosbear
220030000 210566 1353.25 808.26 263.3119 0
220030000 210566 1270.05 845.8 253.49686 0
220030000 210566 1302.26 813.34 256.29877 0
220030000 210566 1188.68 954.84 262.34 0
220030000 210566 1189.8761 965.2537 261.78052 0
220030000 210566 1281.45 839.56 252.08868 0
220030000 210566 1328.1 916.84 252.01749 0
220030000 210566 1215.67 859.46 274.69687 0
220030000 210566 1147.03 884.24 280.375 0
220030000 210566 1152.63 897.26 280.82187 0
220030000 210566 1145.36 873.77 280.625 0
# Bearded Ksellid
220030000 210718 1688.8 486.2611 247.90103 0
220030000 210718 1714.943 468.835 247.5 0
220030000 210718 1785.867 439.7815 247.5 0
220030000 210718 1677.099 490.4075 247.40047 0
220030000 210718 1675.987 522.0734 247.5 0
# Big Cargo Box (Empty)
220030000 210524 1464.245 2440.817 248.1968 0
220030000 210524 1490.851 2495.564 247.375 0
220030000 210524 1565.526 2205.519 247.375 0
220030000 210524 1470.712 2414.532 248.1968 0
220030000 210524 1552.599 2204.3 247.375 0
220030000 210524 1515.82 2419.26 248.1968 0
