# Monster spawns by Darkwolf999.
# Still Some Mobs Missing 
# When I Have More Info I Will Add Them,
# Remember The Spawns Need A Little Rework Later.
# mapid npcid x z y heading

# Brusthonin
220050000 213871 2360.2786 2241.5098 26.391708 109
220050000 213873 2064.198 2036.3081 31.762375 74
220050000 213911 2410.2507 2412.5637 16.796646 81
220050000 213870 2225.307 2263.8457 39.783676 98
220050000 213877 2381.3333 1966.4597 14.762939 43
220050000 213877 2313.729 1740.7777 30.233063 40
220050000 213849 2656.0586 2086.6345 26.37004 18
220050000 213846 2608.5386 1698.181 20.362297 112
220050000 213847 2837.5337 1851.6533 27.175812 87
220050000 213854 2861.6667 1814.2981 29.356369 10
220050000 213897 2732.696 2158.6255 25.584808 98
220050000 213907 2579.029 1930.8151 21.263374 4
220050000 213871 2259.9187 2196.2249 35.600784 37
220050000 213889 2726.9326 1326.7858 16.482399 90
220050000 213885 2697.4753 1681.8766 23.542053 3
220050000 213854 2318.0942 2468.9106 21.233551 35
220050000 213846 2595.0315 1686.4594 22.864326 82
220050000 213873 2087.3716 2056.0227 31.110077 119
220050000 213885 2496.607 1661.8597 16.1717 117
220050000 213873 2064.714 2161.6067 24.883896 49
220050000 213846 2781.5278 1926.5834 21.75 93
220050000 213868 2539.0483 2042.4763 22.494019 4
220050000 213896 2594.4329 2200.3374 18.125 33
220050000 213872 2267.2966 2372.8628 21.740036 56
220050000 213846 2775.9563 1969.9415 21.264618 18
220050000 213850 2724.556 2007.0581 23.784744 44
220050000 213885 2446.2483 1634.6584 22.25 48
220050000 213891 2459.9014 1646.008 21.880661 115
220050000 213871 2026.5553 2389.357 19.333237 2
220050000 213885 2443.4695 1610.393 24.659393 66
220050000 213877 2197.191 1889.1858 26.852097 23
220050000 213885 2491.3433 1577.0961 19.9691 65
220050000 213874 2003.6703 2337.2632 13.809204 53
220050000 213873 2076.6296 2011.9231 30.636047 51
220050000 213854 2726.0408 1852.6617 23.494904 36
220050000 213891 2670.0444 1641.247 23.11898 65
220050000 213854 2856.1013 1762.691 21.993668 62
220050000 213894 2955.299 2497.3394 9.918808 36
220050000 213877 2289.0356 1754.2445 29.655563 42
220050000 213868 2527.2595 2034.98 21.73616 28
220050000 213885 2631.4824 1688.3018 21.401978 59
220050000 213911 2679.2954 1998.2917 20.613876 77
220050000 213854 2375.9646 2429.2163 17.353058 109
220050000 213870 2243.8843 2152.7747 40.632233 103
220050000 213891 2491.3232 1601.761 19.001892 76
220050000 213854 2871.0334 1766.8895 23.040161 95
220050000 213872 2443.514 2350.4736 16.84462 108
220050000 213862 2446.6562 2213.3347 19.999176 69
220050000 213885 2582.951 1659.3799 26.309433 7
220050000 213911 2540.225 2353.9897 18.568085 39
220050000 213885 2603.7764 1667.2529 28.69043 10
220050000 213884 1845.5013 2440.66 14.125 38
220050000 213850 2858.3706 1987.0333 24.375 30
220050000 213875 2423.315 1903.4937 26.457184 86
220050000 213894 2914.3704 2466.7405 13.61113 32
220050000 213885 2678.0107 1653.0321 19.065178 53
220050000 213844 2682.0247 2323.752 24.86258 38
220050000 213871 2055.0784 2509.9783 23.875 12
220050000 213868 2252.6453 2159.4053 37.288025 72
220050000 213877 2302.2544 1862.7737 24.13739 59
220050000 213873 2024.939 2297.652 17.99237 14
220050000 213873 2061.4849 2030.1923 31.149033 82
220050000 213854 2508.057 1952.6395 24.286415 60
220050000 213877 2116.9229 1814.607 26.269287 69
220050000 213846 2551.2737 1757.8163 23.920395 1
220050000 213885 2664.4597 1631.6661 25.138 81
220050000 213911 2658.2334 2217.5776 17.401398 13
220050000 213875 2450.6304 1933.2506 25.508072 26
220050000 213891 2586.3306 1679.777 23.236557 64
220050000 213885 2425.8218 1645.3615 23.004646 29
220050000 213846 2592.2341 1750.946 17.544495 1
220050000 213872 2373.3777 2386.5671 16.125 117
220050000 213854 2742.113 1796.3488 24.096138 89
220050000 213891 2535.4707 1512.6309 18.183838 118
220050000 213846 2598.4348 1737.7744 15.957703 93
220050000 213873 2012.1738 2289.4944 18.115128 91
220050000 213843 2592.8208 2402.6624 27.0802 1
220050000 213879 1961.1571 2583.0159 39.375 97
220050000 213871 1926.232 2280.5486 15.943573 15
220050000 213873 2074.9082 2039.4362 29.146523 25
220050000 213875 2334.6482 1900.7374 27.027245 108
220050000 213883 1953.3398 2595.1643 39.41626 31
220050000 213871 2276.707 2126.8433 38.00757 105
220050000 213891 2498.9543 1558.2406 18.535278 86
220050000 213891 2539.696 1464.9547 25.549011 6
220050000 213854 2718.741 1790.6598 22.178879 31
220050000 213877 2246.156 1737.9808 29.86525 90
220050000 213845 2526.5032 1872.0974 23.681015 92
220050000 213865 2222.498 2155.53 44.27762 109
220050000 213854 2750.7668 1838.605 22.0 35
220050000 213885 2702.8547 1663.6313 25.43924 88
220050000 213843 2742.7893 2242.1958 23.31157 91
220050000 213875 2442.281 1901.7186 26.535149 1
220050000 213877 2372.8308 1841.1935 24.60537 40
220050000 213897 2662.779 2155.3489 19.75 35
220050000 213846 2611.6995 1744.7411 17.059898 11
220050000 213877 2322.7058 1954.4694 27.154556 90
220050000 213911 2734.302 2180.6804 25.457474 34
220050000 213889 2719.0293 1340.4774 16.345161 27
220050000 213861 2464.857 2209.8652 17.920135 95
220050000 213865 2191.2761 2138.5198 44.5 36
220050000 213885 2660.4255 1619.9052 25.526596 84
220050000 213871 2430.1985 2248.1658 20.89981 116
220050000 213877 2227.2212 1838.4268 31.124023 65
220050000 213911 2694.9229 2077.4355 22.887878 107
220050000 213894 2951.309 2481.0276 10.5 35
220050000 213844 2689.8557 2303.6577 24.801804 66
220050000 213877 2385.6807 1972.4019 14.875 10
220050000 213845 2563.9473 1866.7062 24.047432 15
220050000 213859 2046.3461 2137.4778 24.75 65
220050000 213896 2804.4058 2206.8123 30.203018 84
220050000 213844 2716.1504 2209.6792 20.477448 9
220050000 213877 2098.751 1815.8151 26.816505 6
