# Npc spawns by KID
# Fix by Lamo2k123
# Updated + Fixed by Atomix from http://aion.atomixro.com
# mapid npcid x y z heading

# Poeta

# Obelisk (akarios village)
210010000 700013 853.09706 1206.9664 118.432625 -5
# Obelisk (Melponeh Campsite)
210010000 700014 423.08667 1742.2821 120.478806 0
# Lonia
210010000 203080 423.15802 1748.3923 121.0 0
# Protector of Daminu
210010000 730009 592.0 1539.0 116.125 90
# Toleo
210010000 203066 814.7258 1217.3505 117.126656 0
# Ino
210010000 203086 166.23222 1141.4475 119.50571 4
# Gilden
210010000 203088 864.35706 1235.5753 120.0 90
# Aero
210010000 203083 425.42764 1739.6117 120.70129 4
# Sleeping Elder
210010000 730010 528.0191 1541.4235 112.27287 28
# Kunandes
210010000 203087 840.4939 1217.087 120.0 8
# Ben
210010000 203073 602.0 1091.0 100.35982 12
# Pranoa
210010000 203074 692.0093 1205.8406 108.62384 4
# Kagas
210010000 203090 828.656 1265.2003 119.162605 90
# Elpas
210010000 203049 1204.2906 1053.1835 138.96237 110
# Ager
210010000 203062 868.68896 1218.4867 120.0 84
# Asteros
210010000 203058 823.37933 1267.4412 119.18478 90
# Naeru
210010000 203084 422.0657 1744.0328 121.0 0
# Shroomer
210010000 203188 249.55 1635.79 100.64937 0
# Poa
210010000 203085 262.2606 1276.8573 109.0 60
# Baevrunerk
210010000 798008 839.7195 1257.1952 120.0 110
# Seril
210010000 203336 862.71423 1251.586 119.134254 110
# Uteiron
210010000 203069 863.17993 1195.449 114.645874 94
# Sleeping Elder
210010000 730010 648.0752 1507.8206 119.85545 0
# Pernos
210010000 790001 241.09402 1639.461 100.375 0
# Mires
210010000 203057 1141.0 1032.0 128.875 30
# Feira
210010000 203072 588.26056 1094.7517 102.0 105
# Shroomin
210010000 203186 243.7079 1634.5559 100.375 0
# Muranes
210010000 203071 744.4367 1156.2408 104.4727 30
# Mune
210010000 203060 868.7704 1248.559 119.13373 60
# Brutus
210010000 203068 869.65936 1197.7462 114.71261 94
# Daines
210010000 203194 804.9242 1244.5981 120.0 112
# Forest Protector Noah
210010000 730007 558.42 1375.59 119.999374 0
# Melponeh
210010000 203079 421.3839 1754.1105 120.5 110
# Amus
210010000 203063 866.84735 1252.5845 119.1331 75
# Kales
210010000 203050 984.9941 1133.9397 110.0 90
# Daminu
210010000 730008 600.0 1542.0 116.375 0
# Polinia
210010000 203059 825.4364 1241.9847 120.0 90
# Sleeping Elder
210010000 730010 659.7924 1603.4248 124.8319 0
# Melampus
210010000 203065 785.59576 1187.5854 107.0 0
# Sleeping Elder
210010000 730010 709.77026 1549.9213 126.88976 60
# Shroomba
210010000 203187 242.99 1642.36 100.375 0
# Ampeis
210010000 203076 571.57184 1358.7362 119.70952 0
# Tula
210010000 203082 429.6185 1756.6517 121.0 89
# Kustanon
210010000 203070 803.91504 1242.1477 118.98627 0
# Minalinerk
210010000 798007 851.6706 1252.6691 118.83318 90
# Uno
210010000 203061 847.26337 1256.8829 120.0 85
# Sleeping Elder
210010000 730010 524.0951 1584.8158 112.4141 0
# Namus
210010000 203075 558.4866 1379.1592 120.5159 0
# Protector of Daminu
210010000 730009 608.5164 1543.891 116.46091 0
# Oz
210010000 203081 433.11313 1752.6931 120.5 48
# Fungus Boy Shroomy
210010000 203185 242.35413 1633.8169 100.386444 0
# Kalio
210010000 203067 820.9077 1241.0469 118.68173 110
# Fulla
210010000 203064 851.51044 1208.5535 117.815186 0
# Esera
210010000 203089 818.20496 1265.2709 119.162605 110
# Sleeping Elder
210010000 730010 558.8128 1597.4272 115.09842 74

# NPCs/Objects spawns by Atomix from http://aion.atomixro.com
# Thanks to TheOne & Matej for helping me.
# mapid npcid x y z heading

# Kerub Grain sack
210010000 700105 1131.334 977.4501 132.99 0
210010000 700105 1126.023 974.8395 132.07 0
210010000 700105 1136.818 982.5995 132.87 0
210010000 700105 1122.15 991.9852 130.87 0
210010000 700105 1127.872 996.4534 130.99 0
210010000 700105 1118.266 978.7563 131.89 0
210010000 700105 1131.308 985.2346 132.83 0
210010000 700105 1124.903 979.7134 132.1 0
210010000 700105 1136.648 988.3162 132.87 0
# Wine Barrel
210010000 700106 624.92 872.5 103.25 0
210010000 700106 612.03 894.53 103.125 0
210010000 700106 611.29 905.27 103 0
210010000 700106 640.04 877.58 103.625 0
210010000 700106 654.29 948.94 102.82 0
210010000 700106 708.69 971.88 103.62 0
210010000 700106 674.63 950.43 104.39 0
210010000 700106 663.81 922.34 104.21 0
210010000 700106 648.52 906.14 102.62 0
210010000 700106 657.68 890.9 103.67 0
210010000 700106 641.84 884.38 103.62 0
210010000 700106 632.62 889.38 104.46 0
# Suspicious Box
210010000 700174 187.44165 1144.3655 120.63082 38
# Poeta Abyss Gate
210010000 700080 298.91 1016.25 133.44 0
# Training Dummy
210010000 700100 843.8516 1214.341 120 0
210010000 700100 846.5148 1213.722 120 0
# Ancient Cube
210010000 700001 231.51 2006.31 150.66 0
# Blue Power Generator
210010000 700082 226.31 1011.86 121.18792 0
# Green Power Generator
210010000 700081 254.15 1065.97 120.79 0
# Mailbox
210030000 700000 827.18 1243.24 118.88 0
# Odium Cauldron
210010000 700030 292.86 2075.92 170.46 0
# Rusty Windmill Gears
210010000 700035 246.71 1193.22 115.21 0
# Seirenia's Clothes
210010000 700008 477.8 1543.43 108.29 0
# Suspicious Box
210010000 700107 171.14 1096.12 128.86111 0
210010000 700107 169.2 1107.24 131.40 0
210010000 700107 180.84 1106.57 130.29 0
210010000 700107 233.33 1107.8 103.85 0
210010000 700107 241.15 1110.95 104.16 0
210010000 700107 249.57 1116.6 104.37 0
210010000 700107 247.07 1130.51 104.71115 0
210010000 700107 226.29 1135.43 104.11 0
210010000 700107 193.32 1160.86 119.76 0
210010000 700107 192.13 1149.68 119.3 0
210010000 700107 187.45 1142.96 120.75 0
210010000 700107 226.29 1120.11 103.47 0
210010000 700107 237.29 1131.36 103.78 0
210010000 700107 180.18 1133.11 113.44 0
# Violet Power Generator
210010000 700083 289.65 1017.06 132.03 0
# Seirenia
210010000 203175 477.88 1558.32 105.513 0
