# Npc spawns by KID
# Fix by Lamo2k123
# Updated + Fixed by Atomix from http://aion.atomixro.com
# mapid npcid x y z heading

# Boromer
220010000 203518 538.02893 2418.898 277.60895 33
# Ghost of Prison Camp Sentinel
220010000 203551 673.9326 1795.1683 271.375 94
# Gurt
220010000 203503 235.37195 2700.2095 295.15115 107
# Verdandi
220010000 790002 937.9509 2298.1074 266.13477 102
# Motgar
220010000 203533 853.4655 2225.0195 265.84454 89
# Bacorerk
220010000 798037 617.2111 2421.931 280.625 55
# Galar
220010000 203507 539.7026 2551.8079 270.0 0
# Tanmarn
220010000 203549 667.86633 1727.946 271.63834 3
# Raorunerk
220010000 798038 610.8011 2417.865 280.625 29
# Devalin
220010000 203544 925.4475 1563.5364 284.654 43
# Sheofin
220010000 203513 525.2255 2448.8289 282.0 0
# Huggin
220010000 203511 559.6057 2401.8892 278.8955 27
# Alfrigh
220010000 203543 928.04236 1566.0132 284.12152 50
# Nobekk
220010000 203519 489.88107 2415.086 266.54297 104
# Derot
220010000 203539 949.0022 1700.9598 259.625 20
# Vandarnt
220010000 203504 527.07465 2775.6753 295.7563 107
# Hephe
220010000 203514 624.5432 2433.8484 280.731 56
# Lidun
220010000 203541 936.64667 1682.2454 261.81924 15
# Jurwen
220010000 203529 565.459 2401.389 278.89703 36
# Rusalka
220010000 203680 934.60223 1705.2625 259.42108 41
# Tobu
220010000 203517 591.35425 2449.3994 278.375 33
# Bolir
220010000 203532 487.89172 2294.0662 248.28421 99
# Blabbermouth Angmu
220010000 203536 938.75543 2299.856 266.14658 101
# Linevir
220010000 203512 585.4244 2467.0603 279.3 0
# Urd
220010000 790003 587.0572 2412.9968 278.56268 46
# Dobar
220010000 203692 620.4402 2439.1274 280.731 82
# Glifko
220010000 203523 537.0023 2424.401 276.46298 7
# Kirhen
220010000 203530 554.18524 2403.699 278.87778 24
# Negi
220010000 203531 505.76813 2297.5078 250.0 0
# Ungfu
220010000 203526 583.871 2424.6724 279.0 0
# Asak
220010000 203500 560.856 2788.09 299.0535 106
# Megin
220010000 203524 581.5524 2518.6562 275.17914 0
# Jephani
220010000 203548 669.7403 1725.1316 271.39102 31
# Munin
220010000 203550 378.93 1895.39 330.0 0
# Rae
220010000 203554 648.3247 920.85565 310.8089 43
# Osmar
220010000 203679 525.52936 2450.7332 282.0 0
# Dalor
220010000 203515 618.1254 2430.0132 280.731 21
# Guheitun
220010000 203501 223.87064 2679.9333 295.25 0
# Dabi
220010000 203534 855.99347 2215.7432 266.0332 48
# Minu
220010000 203527 607.1283 2460.1262 280.44553 72
# Kaindal
220010000 203522 597.3841 2470.184 278.75 40
# Vanar
220010000 203502 220.17767 2678.7002 295.25 117
# Nalto
220010000 203552 729.80554 1158.2864 302.89865 24
# Skuld
220010000 203546 1114.457 1716.7845 271.10526 51
# Mijou
220010000 203540 946.3315 1702.9247 259.625 22
# Garhara
220010000 203545 942.0379 1707.14 259.6728 38
# Wiokan
220010000 203528 571.93225 2461.9727 278.5 96
# Ere
220010000 203547 667.59766 1762.6604 271.53418 0
# Kard
220010000 203535 1048.3887 2060.312 253.0 0
# Denma
220010000 203542 932.96466 1685.8105 261.82654 2
# Ulgorn
220010000 203516 589.40967 2449.9937 278.375 40
# Srat
220010000 203525 402.20844 2354.868 260.5447 0
# Ampreh Flower
220010000 700125 613.5958 2213.441 247.40 0
220010000 700125 612.1631 2258.61 247.40 0
220010000 700125 576.9407 2136.353 247.40 0
220010000 700125 491.6509 2114.095 247.40 0
220010000 700125 493.4306 2281.111 247.40 0
220010000 700125 657.6072 2190.834 247.40 0
220010000 700125 590.5984 2166.052 247.40 0
220010000 700125 611.46 2114.233 247.40 0
220010000 700125 546.5397 2111.144 247.40 0
220010000 700125 479.9631 2132.992 247.40 0
220010000 700125 494.2542 2136.582 247.40 0
220010000 700125 507.7571 2233.791 247.40 0
220010000 700125 595.7114 2246.756 247.40 0
220010000 700125 541.6023 2253.621 247.40 0
220010000 700125 622.7463 2171.331 247.40 0
220010000 700125 661.9561 2154.55 247.40 0
220010000 700125 515.5164 2138.844 247.40 0
220010000 700125 561.7109 2118.93 247.40 0
220010000 700125 518.8187 2189.773 247.40 0
220010000 700125 511.1803 2277.195 247.40 0
# Bone Piles
220010000 700148 412.87 1901.63 319.04 0
220010000 700148 406.37 1887.38 321.55 0
220010000 700148 447.87 1954.76 307.88 0
220010000 700148 424.12 1924.76 305.267 0
220010000 700148 480.37 1908.63 305.18 0
220010000 700148 511.49 1928.13 291.65 0
220010000 700148 600.99 1865.51 284 0
220010000 700148 584.49 1856.13 287.52 0
220010000 700148 557.62 1848.76 292.9 0
220010000 700148 566.99 1885.63 285.75 0
220010000 700148 587.49 1928.51 286.69 0
220010000 700148 546.87 1932.01 286.57 0
220010000 700148 518.37 1836.76 299.99 0
# Box
220010000 700044 1086.58 1689.09 274.41 0
# Dundun Urn
220010000 700129 534.76 1539.13 317.41 0
220010000 700129 674.6953 1439.104 297.875 0
220010000 700129 458.28 1362.53 331.9584 0
220010000 700129 516.67 1427.32 316.177 0
220010000 700129 498.06 1532.6 323.6974 0
220010000 700129 559.69 1533.1 315.11115 0
220010000 700129 509.6859 1443.796 317.625 0
220010000 700129 495.72 1327.98 326 0
220010000 700129 521.67 1490.6 312.74362 0
220010000 700129 566.93 1435.36 310.15 0
220010000 700129 630.68 1493.22 292.189 0
220010000 700129 458.1073 1423.214 335.08 0
220010000 700129 632.38 1435.02 2956.37 0
220010000 700129 687.3692 1523.17 295.40 0
220010000 700129 659.8 1404.19 298.91 0
220010000 700129 606.09 1446.54 296.38635 0
220010000 700129 711.897 1521.846 294.25 0
220010000 700129 623.6832 1520.493 292.66577 0
220010000 700129 614.78 1467.13 295.16647 0
220010000 700129 494.6427 1417.701 317.625 0
# Fruit Basket
220010000 700124 348.6603 2830.764 304.8052 0
220010000 700124 433.0537 2835.236 296.3985 0
220010000 700124 355.5517 2836.672 304.62573 0
220010000 700124 145.2085 2668.289 305.29047 0
220010000 700124 425.6703 2841.927 296.03424 0
220010000 700124 227.7885 2826 314.24567 0
220010000 700124 195.4013 2542.826 302.92566 0
220010000 700124 455.0316 2780.937 288.875 0
220010000 700124 588.2679 2868.112 303.375 0
220010000 700124 184.6768 2547.672 303.09 0
220010000 700124 544.6986 2731.912 297.99384 0
220010000 700124 413.9809 2835.007 290.1098 0
220010000 700124 531.2373 2729.868 294.5 0
220010000 700124 292.9304 2551.273 288.25 0
220010000 700124 301.485 2542.808 288.25 0
220010000 700124 356.5319 2733.696 289.875 0
220010000 700124 309.2685 2542.678 288.25 0
220010000 700124 341.6309 2720.529 289.11707 0
220010000 700124 164.7891 2541.018 306.85397 0
220010000 700124 135.3903 2643.841 306.31525 0
220010000 700124 470.3868 2776.253 288.875 0
220010000 700124 540.0047 2723.629 298.62973 0
220010000 700124 178.9922 2532.406 307.125 0
220010000 700124 366.4597 2835.75 304.1422 0
220010000 700124 235.8837 2832.044 314.75 0
220010000 700124 458.7679 2884.932 308.7248 0
220010000 700124 471.99 2883.81 308.75357 0
220010000 700124 596.3719 2870.159 303.375 0
220010000 700124 161.6972 2580.437 303.80505 0
220010000 700124 140.963 2653.232 305.97372 0
220010000 700124 142.6691 2530.622 308.90952 0
220010000 700124 249.4959 2836.07 315.12207 0
220010000 700124 349.0103 2727.739 289.75 0
220010000 700124 481.35 2896.18 311.4036 0
# Incinerator
220010000 730029 496.5 1947.51 293.52 0
# Iron Axe
220010000 700146 1086.76 2351.32 261.6 0
# Ishalgen Abyss Gate
220010000 700084 667.57 848.44 322.48 0
# Map of Eyvindr
220010000 700139 1206.294 1885.246 255.41675 0
# Mau Grain Sack
220010000 700095 572.23 1530.22 314.25 0
220010000 700095 555.71 1530.91 314.76 0
220010000 700095 494.18 1552.58 322.41 0
220010000 700095 531.74 1501.45 310.24 0
220010000 700095 623.16 1516.84 292.75 0
220010000 700095 643.82 1519.88 292.02 0
